CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;13;BSI Racing;Toyota GR86;Westin Workman;5;2;2:24.104;;;150.4;
Am;2;2;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;6;3;2:24.137;+0.033;+0.033;150.3;
Am;3;3;16;Copeland Motorsports;Toyota GR86;John Dean;6;6;2:24.173;+0.069;+0.036;150.3;
Am;4;4;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;6;4;2:24.219;+0.115;+0.046;150.2;
Am;5;5;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;6;4;2:24.690;+0.586;+0.471;149.8;
Am;6;6;72;TechSport;Toyota GR86;Ethan Goulart;7;2;2:24.708;+0.604;+0.018;149.7;
Am;7;7;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;7;2;2:24.773;+0.669;+0.065;149.7;
Am;8;8;78;Nitro Motorsports;Toyota GR86;Ethan Ayars;6;6;2:25.033;+0.929;+0.260;149.4;
Am;9;9;15;TechSport;Toyota GR86;Brett Kowalski;6;4;2:25.309;+1.205;+0.276;149.1;
Am;10;10;98;TechSport;Toyota GR86;Max Schweid;6;5;2:25.374;+1.270;+0.065;149.1;
Am;11;11;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;6;6;2:25.391;+1.287;+0.017;149.0;
Am;12;12;88;PT Autosport with Copeland Motorsports;Toyota GR86;Zach Hollingshead;6;3;2:25.763;+1.659;+0.372;148.7;
Am;13;13;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;6;6;2:25.817;+1.713;+0.054;148.6;
Am;14;14;21;Copeland Motorsports;Toyota GR86;Ford Koch;6;6;2:25.846;+1.742;+0.029;148.6;
Am;15;15;71;TechSport;Toyota GR86;Christian Weir;6;4;2:25.871;+1.767;+0.025;148.5;
Am;16;16;47;TechSport;Toyota GR86;Ayden Kirk;6;6;2:26.169;+2.065;+0.298;148.2;
Am;17;17;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;6;4;2:26.284;+2.180;+0.115;148.1;
Am;18;18;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;6;6;2:26.520;+2.416;+0.236;147.9;
Am;19;19;03;Precision Racing LA;Toyota GR86;Karl Forman;6;6;2:26.921;+2.817;+0.401;147.5;
Am;20;20;11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Farran Davis;6;4;2:27.065;+2.961;+0.144;147.3;
Am;21;21;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;6;4;2:27.489;+3.385;+0.424;146.9;
Am;22;22;51;BSI Racing;Toyota GR86;Massimo Sunseri;6;4;2:27.857;+3.753;+0.368;146.5;
