TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1747485938;5/17/2025 12:45:38 PM;25.55;32.3;72.48;1014;3.96;75;0;
1747486001;5/17/2025 12:46:41 PM;25.63;32.4;72.12;1014;5.76;71;0;
1747486063;5/17/2025 12:47:43 PM;25.69;32.5;72.33;1014;4.68;41;0;
1747486126;5/17/2025 12:48:46 PM;25.74;32.7;72.24;1014;2.88;101;0;
1747486189;5/17/2025 12:49:49 PM;25.82;32.8;71.84;1014;3.24;66;0;
1747486251;5/17/2025 12:50:51 PM;25.97;33;71.84;1013.8;6.84;41;0;
1747486314;5/17/2025 12:51:54 PM;26.02;33.2;70.38;1013.9;6.12;32;0;
1747486377;5/17/2025 12:52:57 PM;26.09;33.3;70.25;1013.9;5.4;59;0;
1747486439;5/17/2025 12:53:59 PM;26.14;33.3;69.49;1013.9;6.12;30;0;
1747486502;5/17/2025 12:55:02 PM;26.19;33.4;68.73;1013.8;3.24;44;0;
1747486565;5/17/2025 12:56:05 PM;26.23;33.4;65.69;1013.9;5.76;35;0;
1747486628;5/17/2025 12:57:08 PM;26.24;33.4;65.49;1013.8;7.2;54;0;
1747486690;5/17/2025 12:58:10 PM;26.22;33.5;65.89;1013.8;5.76;59;0;
1747486753;5/17/2025 12:59:13 PM;26.2;33.7;66.75;1013.7;4.68;30;0;
