CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;13;BSI Racing;Toyota GR86;Westin Workman;5;3;2:24.489;;;150.0;
Am;2;2;72;TechSport;Toyota GR86;Ethan Goulart;6;4;2:24.570;+0.081;+0.081;149.9;
Am;3;3;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;7;5;2:24.588;+0.099;+0.018;149.9;
Am;4;4;16;Copeland Motorsports;Toyota GR86;John Dean;7;7;2:24.589;+0.100;+0.001;149.9;
Am;5;5;78;Nitro Motorsports;Toyota GR86;Ethan Ayars;6;6;2:24.849;+0.360;+0.260;149.6;
Am;6;6;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;6;4;2:24.911;+0.422;+0.062;149.5;
Am;7;7;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;7;2;2:25.088;+0.599;+0.177;149.3;
Am;8;8;15;TechSport;Toyota GR86;Brett Kowalski;6;4;2:25.309;+0.820;+0.221;149.1;
Am;9;9;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;7;6;2:25.394;+0.905;+0.085;149.0;
Am;10;10;98;TechSport;Toyota GR86;Max Schweid;6;6;2:25.436;+0.947;+0.042;149.0;
Am;11;11;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;6;3;2:25.540;+1.051;+0.104;148.9;
Am;12;12;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;6;4;2:25.573;+1.084;+0.033;148.8;
Am;13;13;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;6;6;2:25.773;+1.284;+0.200;148.6;
Am;14;14;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;6;5;2:25.815;+1.326;+0.042;148.6;
Am;15;15;47;TechSport;Toyota GR86;Ayden Kirk;6;3;2:25.869;+1.380;+0.054;148.5;
Am;16;16;71;TechSport;Toyota GR86;Christian Weir;6;6;2:25.891;+1.402;+0.022;148.5;
Am;17;17;21;Copeland Motorsports;Toyota GR86;Ford Koch;7;6;2:25.912;+1.423;+0.021;148.5;
Am;18;18;88;PT Autosport with Copeland Motorsports;Toyota GR86;Zach Hollingshead;5;4;2:26.447;+1.958;+0.535;148.0;
Am;19;19;03;Precision Racing LA;Toyota GR86;Karl Forman;6;6;2:26.538;+2.049;+0.091;147.9;
Am;20;20;51;BSI Racing;Toyota GR86;Massimo Sunseri;6;6;2:26.682;+2.193;+0.144;147.7;
Am;21;21;11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Farran Davis;6;6;2:27.195;+2.706;+0.513;147.2;
Am;22;22;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;6;4;2:28.224;+3.735;+1.029;146.2;
