NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;3:06.126;0;;1:18.357;0;53.281;0;54.488;0;116.4;3:06.126;08:33:06.126;1:18.357;0:53.281;0:54.488;;Karl Forman;0:00:33.545;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;78.357;53.281;54.488;49.866;49.866;28.491;1:18.357;30.276;1:48.633;23.005;2:11.638;34.642;2:46.280;19.846;3:06.126;
03;1;2;2:28.769;0;;44.626;0;51.206;0;52.937;0;145.7;5:34.895;08:35:34.895;0:44.626;0:51.206;0:52.937;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;44.626;51.206;52.937;18.136;18.136;26.490;44.626;29.077;1:13.703;22.129;1:35.832;33.221;2:09.053;19.716;2:28.769;
03;1;3;2:27.940;0;;43.986;0;51.306;0;52.648;0;146.5;8:02.835;08:38:02.835;0:43.986;0:51.306;0:52.648;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;43.986;51.306;52.648;17.848;17.848;26.138;43.986;29.287;1:13.273;22.019;1:35.292;33.145;2:08.437;19.503;2:27.940;
03;1;4;2:27.460;0;;43.518;2;51.044;0;52.898;0;146.9;10:30.295;08:40:30.295;0:43.518;0:51.044;0:52.898;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;43.518;51.044;52.898;17.690;17.690;25.828;43.518;28.957;1:12.475;22.087;1:34.562;33.465;2:08.027;19.433;2:27.460;
03;1;5;2:39.932;0;;47.516;0;58.672;0;53.744;0;135.5;13:10.227;08:43:10.227;0:47.516;0:58.672;0:53.744;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;47.516;58.672;53.744;19.616;19.616;27.900;47.516;29.887;1:17.403;28.785;1:46.188;34.102;2:20.290;19.642;2:39.932;
03;1;6;2:26.538;2;;43.584;0;50.634;2;52.320;2;147.9;15:36.765;08:45:36.765;0:43.584;0:50.634;0:52.320;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;FF;43.584;50.634;52.320;17.754;17.754;25.830;43.584;28.752;1:12.336;21.882;1:34.218;32.835;2:07.053;19.485;2:26.538;
11;1;1;2:55.288;0;;1:05.385;0;53.989;0;55.914;0;123.6;2:55.288;08:32:55.288;1:05.385;0:53.989;0:55.914;;Farran Davis;0:00:21.170;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;65.385;53.989;55.914;36.452;36.452;28.933;1:05.385;31.322;1:36.707;22.667;1:59.374;34.754;2:34.128;21.160;2:55.288;
11;1;2;2:28.922;0;;45.199;0;51.061;0;52.662;0;145.5;5:24.210;08:35:24.210;0:45.199;0:51.061;0:52.662;;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;45.199;51.061;52.662;18.831;18.831;26.368;45.199;29.060;1:14.259;22.001;1:36.260;33.160;2:09.420;19.502;2:28.922;
11;1;3;2:54.488;0;B;52.993;0;55.062;0;1:06.433;0;124.2;8:18.698;08:38:18.698;0:52.993;0:55.062;1:06.433;;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;52.993;55.062;66.433;23.262;23.262;29.731;52.993;32.292;1:25.285;22.770;1:48.055;33.946;2:22.001;32.487;2:54.488;
11;1;4;3:42.179;0;;1:57.749;0;51.429;0;53.001;0;97.5;12:00.877;08:42:00.877;1:57.749;0:51.429;0:53.001;;Farran Davis;0:01:27.480;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;117.749;51.429;53.001;1:30.650;1:30.650;27.099;1:57.749;29.322;2:27.071;22.107;2:49.178;33.034;3:22.212;19.967;3:42.179;
11;1;5;2:27.969;0;;44.166;0;51.131;0;52.672;0;146.4;14:28.846;08:44:28.846;0:44.166;0:51.131;0:52.672;;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;44.166;51.131;52.672;18.122;18.122;26.044;44.166;29.002;1:13.168;22.129;1:35.297;33.078;2:08.375;19.594;2:27.969;
11;1;6;2:27.195;2;;43.930;2;50.861;2;52.404;2;147.2;16:56.041;08:46:56.041;0:43.930;0:50.861;0:52.404;;Farran Davis;;Am;Legends;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FF;43.930;50.861;52.404;17.902;17.902;26.028;43.930;28.825;1:12.755;22.036;1:34.791;32.857;2:07.648;19.547;2:27.195;
113;1;1;3:23.563;0;;1:39.603;0;51.380;0;52.580;0;106.4;3:23.563;08:33:23.563;1:39.603;0:51.380;0:52.580;;Ethan Tovo;0:00:57.353;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;99.603;51.380;52.580;1:12.391;1:12.391;27.212;1:39.603;29.387;2:08.990;21.993;2:30.983;33.013;3:03.996;19.567;3:23.563;
113;1;2;2:26.960;0;;43.949;0;50.811;0;52.200;0;147.4;5:50.523;08:35:50.523;0:43.949;0:50.811;0:52.200;;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;43.949;50.811;52.200;17.925;17.925;26.024;43.949;28.791;1:12.740;22.020;1:34.760;32.876;2:07.636;19.324;2:26.960;
113;1;3;2:26.068;0;;43.308;0;50.559;0;52.201;0;148.3;8:16.591;08:38:16.591;0:43.308;0:50.559;0:52.201;;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;43.308;50.559;52.201;17.665;17.665;25.643;43.308;28.674;1:11.982;21.885;1:33.867;32.872;2:06.739;19.329;2:26.068;
113;1;4;2:25.573;2;;43.202;0;50.457;2;51.914;2;148.8;10:42.164;08:40:42.164;0:43.202;0:50.457;0:51.914;;Ethan Tovo;;Am;;Nitro Motorsports;Toyota Gazoo Racing;GF;43.202;50.457;51.914;17.614;17.614;25.588;43.202;28.606;1:11.808;21.851;1:33.659;32.610;2:06.269;19.304;2:25.573;
