NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;7;2:25.394;6;2:25.434;5;2:25.450;7;2:25.595;3;2:27.262;4;2:30.456;2;;0;;0;;0;;0;2:26.598;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;6;2:26.538;6;2:27.460;4;2:27.940;3;2:28.769;2;2:39.932;5;;0;;0;;0;;0;;0;2:30.127;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;6;2:25.540;3;2:25.709;4;2:26.685;6;2:29.792;2;2:30.529;5;;0;;0;;0;;0;;0;2:27.651;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;7;2:24.588;5;2:25.076;3;2:25.411;6;2:25.896;2;2:26.172;4;2:26.293;7;;0;;0;;0;;0;2:25.572;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis;6;2:27.195;6;2:27.969;5;2:28.922;2;;0;;0;;0;;0;;0;;0;;0;2:28.028;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;5;2:24.489;3;2:24.696;2;2:24.852;4;;0;;0;;0;;0;;0;;0;;0;2:24.679;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;6;2:25.309;4;2:25.641;2;2:25.851;3;2:26.116;5;;0;;0;;0;;0;;0;;0;2:25.729;
16;Copeland Motorsports;Toyota GR86;Am;John;Dean;7;2:24.589;7;2:24.860;5;2:25.017;3;2:25.265;4;2:25.707;2;2:26.341;6;;0;;0;;0;;0;2:25.296;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;7;2:25.912;6;2:26.512;3;2:26.532;5;2:27.580;2;2:27.837;4;;0;;0;;0;;0;;0;2:26.874;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;6;2:25.815;5;2:25.836;6;2:26.580;4;2:26.730;2;2:26.733;3;;0;;0;;0;;0;;0;2:26.338;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;6;2:25.773;6;2:26.054;3;2:27.191;4;2:29.348;2;2:29.700;5;;0;;0;;0;;0;;0;2:27.613;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;7;2:25.088;2;2:25.109;6;2:25.125;3;2:25.166;4;2:25.345;7;2:25.937;5;;0;;0;;0;;0;2:25.295;
47;TechSport;Toyota GR86;Am;Ayden;Kirk;6;2:25.869;3;2:26.153;5;2:26.295;6;2:26.607;2;2:31.739;4;;0;;0;;0;;0;;0;2:27.332;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;6;2:26.682;6;2:26.914;2;2:27.714;3;2:27.891;4;2:27.961;5;;0;;0;;0;;0;;0;2:27.432;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;6;2:24.911;4;2:24.976;6;2:25.093;3;2:25.425;2;2:30.578;5;;0;;0;;0;;0;;0;2:26.196;
71;TechSport;Toyota GR86;Am;Christian;Weir;6;2:25.891;6;2:25.896;5;2:26.008;3;2:26.560;2;2:57.364;4;;0;;0;;0;;0;;0;2:32.343;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;6;2:24.570;4;2:24.819;3;2:25.684;2;2:26.217;5;;0;;0;;0;;0;;0;;0;2:25.322;
78;Nitro Motorsports;Toyota GR86;Am;Ethan;Ayars;6;2:24.849;6;2:24.903;5;2:25.006;3;2:25.106;4;2:25.476;2;;0;;0;;0;;0;;0;2:25.068;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;6;2:28.224;4;2:28.522;3;2:28.585;6;2:29.112;2;2:29.169;5;;0;;0;;0;;0;;0;2:28.722;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Zach;Hollingshead;5;2:26.447;4;2:26.755;2;2:29.206;5;2:31.588;3;;0;;0;;0;;0;;0;;0;2:28.499;
98;TechSport;Toyota GR86;Am;Max;Schweid;6;2:25.436;6;2:25.464;4;2:25.915;2;2:26.102;3;2:28.504;5;;0;;0;;0;;0;;0;2:26.284;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;6;2:25.573;4;2:25.574;6;2:26.068;3;2:26.211;5;2:26.960;2;;0;;0;;0;;0;;0;2:26.077;
