"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"3","Jason Kos","1","1","2:24.578",144578,"2:44.171",164171,"18:17:44.244","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","00:59.116",59116,"43.239",43239,"42.223",42223,"00:31.820",31820,"00:27.296",27296,"00:18.301",18301,"00:24.938",24938,"00:16.085",16085,"00:26.138",26138
"3","Jason Kos","2","2","2:04.233",124233,"4:48.404",288404,"18:19:48.477","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","42.311",42311,"41.098",41098,"40.824",40824,"00:17.720",17720,"00:24.591",24591,"00:16.752",16752,"00:24.346",24346,"00:15.919",15919,"00:24.905",24905
"3","Jason Kos","3","3","2:03.269",123269,"6:51.673",411673,"18:21:51.746","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","42.862",42862,"40.676",40676,"39.731",39731,"00:17.354",17354,"00:25.508",25508,"00:16.890",16890,"00:23.786",23786,"00:15.214",15214,"00:24.517",24517
"3","Jason Kos","4","4","2:13.580",133580,"9:05.253",545253,"18:24:05.326","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","41.816",41816,"40.275",40275,"51.489",51489,"00:17.213",17213,"00:24.603",24603,"00:16.653",16653,"00:23.622",23622,"00:15.321",15321,"00:36.168",36168
"5","Gresham Wagner","1","2","2:11.441",131441,"4:38.664",278664,"18:19:38.737","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","","{""fields"":{""driver2tla"":""WAG"",""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":""WAG"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-05T15:14:07.686Z"",""id"":""entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC"",""createdAt"":""2024-03-29T16:43:18.476Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","39.588",39588,"41.945",41945,"49.908",49908,"00:16.554",16554,"00:23.034",23034,"00:16.172",16172,"00:25.773",25773,"00:15.557",15557,"00:34.351",34351
"5","Gresham Wagner","2","3","1:55.829",115829,"6:34.493",394493,"18:21:34.566","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","","{""fields"":{""driver2tla"":""WAG"",""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":""WAG"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-05T15:14:07.686Z"",""id"":""entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC"",""createdAt"":""2024-03-29T16:43:18.476Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","38.967",38967,"38.160",38160,"38.702",38702,"00:16.223",16223,"00:22.744",22744,"00:16.008",16008,"00:22.152",22152,"00:14.735",14735,"00:23.967",23967
"5","Gresham Wagner","3","4","1:58.660",118660,"8:33.153",513153,"18:23:33.226","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","","{""fields"":{""driver2tla"":""WAG"",""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":""WAG"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-05T15:14:07.686Z"",""id"":""entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC"",""createdAt"":""2024-03-29T16:43:18.476Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","38.095",38095,"40.363",40363,"40.202",40202,"00:15.838",15838,"00:22.257",22257,"00:16.160",16160,"00:24.203",24203,"00:15.173",15173,"00:25.029",25029
"5","Gresham Wagner","4","5","1:55.359",115359,"10:28.512",628512,"18:25:28.585","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","","{""fields"":{""driver2tla"":""WAG"",""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":""WAG"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-05T15:14:07.686Z"",""id"":""entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC"",""createdAt"":""2024-03-29T16:43:18.476Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","38.401",38401,"38.342",38342,"38.616",38616,"00:15.871",15871,"00:22.530",22530,"00:15.919",15919,"00:22.423",22423,"00:14.279",14279,"00:24.337",24337
"5","Gresham Wagner","5","6","1:54.158",114158,"12:22.670",742670,"18:27:22.743","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","","{""fields"":{""driver2tla"":""WAG"",""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":""WAG"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-05T15:14:07.686Z"",""id"":""entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC"",""createdAt"":""2024-03-29T16:43:18.476Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","38.332",38332,"37.655",37655,"38.171",38171,"00:15.769",15769,"00:22.563",22563,"00:15.701",15701,"00:21.954",21954,"00:14.210",14210,"00:23.961",23961
"5","Gresham Wagner","6","7","1:53.067",113067,"14:15.737",855737,"18:29:15.810","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","","{""fields"":{""driver2tla"":""WAG"",""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":""WAG"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-05T15:14:07.686Z"",""id"":""entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC"",""createdAt"":""2024-03-29T16:43:18.476Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","38.027",38027,"37.235",37235,"37.805",37805,"00:15.697",15697,"00:22.330",22330,"00:15.653",15653,"00:21.582",21582,"00:14.018",14018,"00:23.787",23787
