"Pos","PIC","#","Name","Class","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","2nd Best Time","2nd Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","5","Gresham Wagner","Am","1:51.808",111808,"80.656","11","","","0","1:52.430",112430,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","",1,"0 (1 → 1)",""
"2","2","13","Westin Workman","Am","1:52.535",112535,"80.135","13","0.727","0.727","0","1:53.266",113266,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:sjlraKH2PvZE5g82dg01i","entries:events-2024-sro-sonoma:sjlraKH2PvZE5g82dg01i","15241424","",2,"0 (2 → 2)",""
"3","3","76","Steven Clemons","Am","1:52.903",112903,"79.874","13","1.095","0.368","0","1:53.631",113631,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:CM3cEGJUuqgNQU9qV2Z9H","entries:events-2024-sro-sonoma:CM3cEGJUuqgNQU9qV2Z9H","13032211","",3,"0 (3 → 3)",""
"4","4","44","Aidan Yoder","Am","1:53.180",113180,"79.678","13","1.372","0.277","0","1:53.453",113453,"Aidan","Yoder","","219270","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:yuo93ihl41G8DnmqwgnEj","entries:events-2024-sro-sonoma:yuo93ihl41G8DnmqwgnEj","14864382","",4,"0 (4 → 4)",""
"5","5","99","Jaxon Bell","Am","1:53.318",113318,"79.581","10","1.510","0.138","0","1:53.442",113442,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:knzAoebx9uOyrs1FhnYTa","entries:events-2024-sro-sonoma:knzAoebx9uOyrs1FhnYTa","13153784","",5,"0 (5 → 5)",""
"6","6","51","Adam Brickley","Am","1:53.437",113437,"79.498","11","1.629","0.119","0","1:54.252",114252,"Adam","Brickley","","219295","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:hllIykDcba1dBQ4ydZFuz","entries:events-2024-sro-sonoma:hllIykDcba1dBQ4ydZFuz","12714404","",6,"0 (6 → 6)",""
"7","7","50","Casey Mashore","Am","1:53.471",113471,"79.474","13","1.663","0.034","0","1:53.750",113750,"Casey","Mashore","","219242","GR Cup","Toyota GR86","Mashore Autobody","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:jXAGJ3mJteaTD55tSNGob","entries:events-2024-sro-sonoma:jXAGJ3mJteaTD55tSNGob","10127188","",7,"0 (7 → 7)",""
"8","8","24","Jade Avedisian","Am","1:53.651",113651,"79.348","14","1.843","0.180","0","1:53.827",113827,"Jade","Avedisian","","219104","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:AvKgAMG522yRRiHbB7bQp","entries:events-2024-sro-sonoma:AvKgAMG522yRRiHbB7bQp","10544198","",8,"0 (8 → 8)",""
"9","9","57","Mia Lovell","Am","1:53.741",113741,"79.285","13","1.933","0.090","0","1:53.910",113910,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:YppPISRDS4CTeh-4Wfxc_","entries:events-2024-sro-sonoma:YppPISRDS4CTeh-4Wfxc_","10314665","",9,"0 (9 → 9)",""
"10","10","80","Tyler Wettengel","Am","1:53.775",113775,"79.262","13","1.967","0.034","0","1:54.087",114087,"Tyler","Wettengel","","219101","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:hAjlwAiTC33ZzzXTEVkvN","entries:events-2024-sro-sonoma:hAjlwAiTC33ZzzXTEVkvN","15012542","",10,"0 (10 → 10)",""
