"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","2:03.269","2:04.233","2:13.580","2:24.578","","","","","","","02:11.415"
"GR Cup","Am","5","1:51.808","1:52.430","1:52.601","1:53.067","1:54.158","1:55.359","1:55.829","1:57.989","1:58.660","2:11.441","01:56.334"
"GR Cup","Am","7","1:54.002","1:54.297","1:54.731","1:55.174","1:55.479","1:56.223","1:56.555","1:56.995","1:57.810","1:59.583","01:56.085"
"GR Cup","Am","09","1:55.650","1:56.463","1:56.506","1:56.552","1:56.571","1:56.973","1:56.992","1:58.662","1:59.063","1:59.480","01:57.291"
"GR Cup","Am","11","1:57.233","1:57.778","1:57.940","1:58.100","1:58.591","1:59.062","1:59.318","2:00.113","2:01.676","2:01.937","01:59.175"
"GR Cup","Am","13","1:52.535","1:53.266","1:53.413","1:53.946","1:54.599","1:55.323","1:55.344","1:55.399","1:56.471","1:57.131","01:54.743"
"GR Cup","Am","14","1:54.253","1:54.477","1:55.079","1:55.134","1:55.192","1:55.423","1:57.891","1:58.945","2:01.651","2:05.732","01:57.378"
"GR Cup","Am","21","1:55.254","1:55.954","1:56.645","1:56.866","1:57.187","1:58.751","1:58.822","1:59.697","2:00.451","2:01.283","01:58.091"
"GR Cup","Am","24","1:53.651","1:53.827","1:54.077","1:54.118","1:54.600","1:55.102","1:55.575","1:55.878","1:56.176","1:56.521","01:54.953"
"GR Cup","Am","25","1:56.287","1:56.453","1:57.478","1:57.625","1:58.009","1:59.210","1:59.650","1:59.911","2:00.125","2:00.245","01:58.499"
"GR Cup","Am","31","2:00.356","2:01.794","2:02.810","2:03.878","2:07.464","2:26.203","","","","","02:07.084"
"GR Cup","Am","34","1:54.485","1:54.805","1:55.462","1:55.660","1:56.359","1:56.782","1:57.333","1:58.037","1:58.987","1:59.384","01:56.729"
"GR Cup","Am","39","1:53.977","1:54.189","1:54.647","1:55.589","1:55.988","1:56.313","1:56.504","1:56.920","1:58.007","1:58.074","01:56.021"
"GR Cup","Am","43","1:55.402","1:55.797","1:56.825","1:57.201","1:57.820","1:58.125","1:59.136","1:59.509","2:10.366","","01:58.909"
"GR Cup","Am","44","1:53.180","1:53.453","1:54.130","1:54.300","1:55.492","1:56.164","1:56.271","1:56.465","1:57.574","1:58.081","01:55.511"
"GR Cup","Am","50","1:53.471","1:53.750","1:54.508","1:54.895","1:54.951","1:55.171","1:55.458","1:56.280","1:56.511","1:56.897","01:55.189"
"GR Cup","Am","51","1:53.437","1:54.252","1:54.538","1:54.716","1:54.868","1:55.276","1:55.984","1:56.351","1:56.602","1:56.792","01:55.282"
"GR Cup","Am","57","1:53.741","1:53.910","1:54.042","1:54.365","1:54.483","1:54.820","1:54.902","1:55.943","1:56.273","1:56.806","01:54.929"
"GR Cup","Am","61","1:59.538","2:01.746","2:04.030","2:05.105","2:05.733","2:05.824","2:06.903","2:06.957","2:09.076","2:09.110","02:05.402"
"GR Cup","Am","76","1:52.903","1:53.631","1:53.946","1:54.753","1:55.293","1:55.406","1:55.833","1:56.038","1:56.230","1:56.259","01:55.029"
"GR Cup","Am","77","1:55.214","1:55.699","1:56.995","1:57.062","1:57.753","1:59.023","2:00.092","2:00.371","2:01.067","2:03.059","01:58.634"
"GR Cup","Am","80","1:53.775","1:54.087","1:54.601","1:54.618","1:54.704","1:54.989","1:55.972","1:56.438","1:58.183","1:58.938","01:55.631"
"GR Cup","Am","88","1:53.871","1:54.009","1:54.294","1:54.611","1:55.516","1:55.724","1:56.088","1:57.500","1:58.107","1:58.492","01:55.821"
"GR Cup","Am","89","1:54.632","1:54.739","1:55.154","1:55.530","1:55.610","1:55.714","1:56.361","1:56.654","1:56.900","1:57.379","01:55.867"
"GR Cup","Am","99","1:53.318","1:53.442","1:53.995","1:54.865","1:54.893","1:55.163","1:56.218","1:56.455","1:58.798","1:58.805","01:55.595"
