"Pos","PIC","#","Name","Class","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","2nd Best Time","2nd Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","13","Westin Workman","Am","1:51.522",111522,"80.863","7","","","0","1:51.526",111526,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:sjlraKH2PvZE5g82dg01i","entries:events-2024-sro-sonoma:sjlraKH2PvZE5g82dg01i","15241424","",1,"0 (1 → 1)",""
"2","2","5","Gresham Wagner","Am","1:51.565",111565,"80.832","6","0.043","0.043","0","1:51.586",111586,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","",2,"0 (2 → 2)",""
"3","3","99","Jaxon Bell","Am","1:51.663",111663,"80.761","6","0.141","0.098","0","1:51.900",111900,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:knzAoebx9uOyrs1FhnYTa","entries:events-2024-sro-sonoma:knzAoebx9uOyrs1FhnYTa","13153784","",3,"0 (3 → 3)",""
"4","4","55","Spike Kohlbecker","Am","1:51.796",111796,"80.665","8","0.274","0.133","0","1:52.394",112394,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:-pvSmOaXahTeWfiQIb_FB","entries:events-2024-sro-sonoma:-pvSmOaXahTeWfiQIb_FB","11385466","",4,"0 (4 → 4)",""
"5","5","46","Lucas Weisenberg","Am","1:52.209",112209,"80.368","4","0.687","0.413","0","1:52.265",112265,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:ngyYstb4ROjtzKMsyLx1s","entries:events-2024-sro-sonoma:ngyYstb4ROjtzKMsyLx1s","12208074","",5,"0 (5 → 5)",""
"6","6","39","Maximilian Hewitt","Am","1:52.428",112428,"80.211","6","0.906","0.219","0","1:52.814",112814,"Maximilian","Hewitt","","219206","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:7ZV5u9zrE0GxuFf--ywJc","entries:events-2024-sro-sonoma:7ZV5u9zrE0GxuFf--ywJc","13778007","",6,"0 (6 → 6)",""
"7","7","57","Mia Lovell","Am","1:52.695",112695,"80.021","7","1.173","0.267","0","1:53.734",113734,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:YppPISRDS4CTeh-4Wfxc_","entries:events-2024-sro-sonoma:YppPISRDS4CTeh-4Wfxc_","10314665","",7,"0 (7 → 7)",""
"8","8","44","Aidan Yoder","Am","1:52.721",112721,"80.003","7","1.199","0.026","0","1:52.913",112913,"Aidan","Yoder","","219270","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:yuo93ihl41G8DnmqwgnEj","entries:events-2024-sro-sonoma:yuo93ihl41G8DnmqwgnEj","14864382","",8,"0 (8 → 8)",""
"9","9","51","Adam Brickley","Am","1:52.798",112798,"79.948","7","1.276","0.077","0","1:52.814",112814,"Adam","Brickley","","219295","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:hllIykDcba1dBQ4ydZFuz","entries:events-2024-sro-sonoma:hllIykDcba1dBQ4ydZFuz","12714404","",9,"0 (9 → 9)",""
"10","10","80","Tyler Wettengel","Am","1:52.943",112943,"79.846","8","1.421","0.145","0","1:53.039",113039,"Tyler","Wettengel","","219101","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:hAjlwAiTC33ZzzXTEVkvN","entries:events-2024-sro-sonoma:hAjlwAiTC33ZzzXTEVkvN","15012542","",10,"0 (10 → 10)",""
"11","11","89","Livio Galanti","Am","1:52.980",112980,"79.819","8","1.458","0.037","0","1:53.715",113715,"Livio","Galanti","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","ITA","","entries:events-2024-sro-sonoma:PxGA3DPM8jHMuTgpK3lHP","entries:events-2024-sro-sonoma:PxGA3DPM8jHMuTgpK3lHP","11765029","",11,"0 (11 → 11)",""
