"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","1:57.190","1:57.405","1:57.618","1:59.841","2:00.358","2:01.299","2:01.759","2:20.789","","","02:02.032"
"GR Cup","Am","5","1:51.565","1:51.586","1:51.938","1:52.194","1:52.655","1:53.856","1:59.990","","","","01:53.398"
"GR Cup","Am","7","1:53.800","1:54.271","1:55.043","1:55.963","1:57.088","2:00.443","2:19.825","","","","01:59.490"
"GR Cup","Am","09","1:54.591","1:55.260","1:56.073","1:56.682","3:01.171","3:48.726","","","","","02:25.417"
"GR Cup","Am","11","1:55.622","1:56.535","1:57.364","1:58.088","1:58.594","1:58.767","2:00.216","2:15.365","","","02:00.069"
"GR Cup","Am","13","1:51.522","1:51.526","1:52.298","1:52.995","1:54.524","1:54.692","1:56.423","","","","01:53.426"
"GR Cup","Am","14","1:53.765","1:54.249","1:54.438","1:55.260","1:56.909","2:03.490","2:20.186","","","","01:59.757"
"GR Cup","Am","15","1:53.665","1:54.636","1:54.733","1:56.220","1:57.074","2:00.881","2:03.691","2:28.709","","","02:01.201"
"GR Cup","Am","21","1:53.886","1:55.080","1:55.278","1:56.428","1:56.604","2:00.507","2:00.835","2:20.741","","","01:59.920"
"GR Cup","Am","22","1:53.918","1:55.194","1:55.257","1:59.894","2:01.139","2:08.571","2:24.977","","","","02:02.707"
"GR Cup","Am","24","1:53.294","1:53.557","1:53.867","1:55.054","1:55.265","1:57.057","2:14.756","2:46.100","","","02:03.619"
"GR Cup","Am","25","1:54.322","1:54.931","1:56.054","1:56.596","1:57.009","2:00.706","2:00.779","2:24.922","","","02:00.665"
"GR Cup","Am","31","1:56.708","1:57.052","1:57.194","1:57.982","1:57.992","2:00.469","2:02.155","2:21.752","","","02:01.413"
"GR Cup","Am","34","1:53.123","1:53.813","1:55.049","1:55.210","1:55.415","1:56.171","1:57.699","","","","01:55.211"
"GR Cup","Am","39","1:52.428","1:52.814","1:52.850","1:53.628","1:54.371","1:54.963","1:56.681","","","","01:53.962"
"GR Cup","Am","43","1:54.656","1:56.576","1:57.885","1:57.962","1:58.743","1:59.451","2:20.417","","","","02:00.813"
"GR Cup","Am","44","1:52.721","1:52.913","1:53.565","1:54.488","1:56.452","1:56.857","2:26.043","","","","01:59.006"
"GR Cup","Am","46","1:52.209","1:52.265","1:52.295","1:52.726","1:53.022","1:54.731","2:30.343","","","","01:58.227"
"GR Cup","Am","50","1:53.533","1:53.823","1:54.714","1:54.948","2:00.700","2:24.445","","","","","02:00.361"
"GR Cup","Am","51","1:52.798","1:52.814","1:52.823","1:53.803","1:55.811","1:56.645","1:56.831","","","","01:54.504"
"GR Cup","Am","55","1:51.796","1:52.394","1:52.516","1:52.539","1:53.764","1:54.011","2:02.338","2:16.054","","","01:56.927"
"GR Cup","Am","57","1:52.695","1:53.734","1:53.748","1:53.934","1:55.202","1:56.715","1:57.596","","","","01:54.803"
"GR Cup","Am","61","1:59.633","1:59.994","2:03.388","2:05.574","2:06.821","2:10.476","2:34.727","","","","02:08.659"
"GR Cup","Am","76","1:53.042","1:53.236","1:53.243","1:53.542","1:53.563","1:53.856","1:55.323","","","","01:53.686"
"GR Cup","Am","77","1:54.637","1:54.745","1:54.765","1:55.437","1:55.565","1:58.409","2:12.803","2:31.148","","","02:02.189"
"GR Cup","Am","80","1:52.943","1:53.039","1:53.095","1:53.565","1:54.680","1:59.798","2:01.040","2:14.377","","","01:57.817"
"GR Cup","Am","88","1:54.130","1:54.779","1:55.237","1:58.188","1:58.627","1:59.409","2:27.242","","","","02:01.087"
"GR Cup","Am","89","1:52.980","1:53.715","1:53.839","1:54.546","1:56.147","1:56.242","2:00.232","2:18.412","","","01:58.264"
"GR Cup","Am","99","1:51.663","1:51.900","1:52.234","1:52.935","1:53.745","1:55.898","1:57.396","","","","01:53.682"
