"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","13","Westin Workman","Am","7","15:23.370",923370,"1:50.438",110438,"81.657","7","","","0","2","17.535","0","","Westin","Workman","1:50.453",110453,"","36.969",36969,"36.588",36588,"36.769",36769,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:sjlraKH2PvZE5g82dg01i","entries:events-2024-sro-sonoma:sjlraKH2PvZE5g82dg01i","15241424","",2,"1 (2 → 1)","1"
"2","2","5","Gresham Wagner","Am","7","15:22.898",922898,"1:50.566",110566,"81.562","6","0.128","0.128","0","1","17.535","0","","Gresham","Wagner","1:50.692",110692,"","37.176",37176,"36.555",36555,"36.787",36787,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","",1,"-1 (1 → 2)","-1"
"3","3","46","Lucas Weisenberg","Am","7","15:46.101",946101,"1:50.627",110627,"81.517","5","0.189","0.061","0","4","17.535","0","","Lucas","Weisenberg","1:51.139",111139,"","37.044",37044,"36.565",36565,"36.864",36864,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:ngyYstb4ROjtzKMsyLx1s","entries:events-2024-sro-sonoma:ngyYstb4ROjtzKMsyLx1s","12208074","",4,"1 (4 → 3)","1"
"4","4","55","Spike Kohlbecker","Am","8","15:43.626",943626,"1:50.662",110662,"81.491","8","0.224","0.035","0","3","20.040","0","","Spike","Kohlbecker","1:50.796",110796,"1","37.117",37117,"36.680",36680,"36.783",36783,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:-pvSmOaXahTeWfiQIb_FB","entries:events-2024-sro-sonoma:-pvSmOaXahTeWfiQIb_FB","11385466","",3,"-1 (3 → 4)","-1"
"5","5","99","Jaxon Bell","Am","7","15:52.002",952002,"1:50.775",110775,"81.408","6","0.337","0.113","0","5","17.535","0","","Jaxon","Bell","1:51.039",111039,"","37.210",37210,"36.652",36652,"36.896",36896,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:knzAoebx9uOyrs1FhnYTa","entries:events-2024-sro-sonoma:knzAoebx9uOyrs1FhnYTa","13153784","",5,"0 (5 → 5)","0"
"6","6","57","Mia Lovell","Am","7","15:27.139",927139,"1:51.376",111376,"80.969","6","0.938","0.601","0","6","17.535","0","","Mia","Lovell","1:51.378",111378,"","37.092",37092,"36.879",36879,"36.943",36943,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:YppPISRDS4CTeh-4Wfxc_","entries:events-2024-sro-sonoma:YppPISRDS4CTeh-4Wfxc_","10314665","",6,"0 (6 → 6)","0"
"7","7","34","Braydon Arthur","Am","7","15:21.827",921827,"1:51.511",111511,"80.871","7","1.073","0.135","0","16","17.535","0","","Braydon","Arthur","1:51.838",111838,"","37.190",37190,"36.942",36942,"37.275",37275,"Braydon","Arthur","","219195","GR Cup","Toyota GR86","JMF Motorsports","Toyota Gazoo Racing","CAN","","entries:events-2024-sro-sonoma:Ab4n6sPvrM3cvvgdu-YCH","entries:events-2024-sro-sonoma:Ab4n6sPvrM3cvvgdu-YCH","15222059","",16,"9 (16 → 7)","9"
"8","8","39","Maximilian Hewitt","Am","7","15:21.289",921289,"1:51.562",111562,"80.834","7","1.124","0.051","0","8","17.535","0","","Maximilian","Hewitt","1:52.100",112100,"","37.426",37426,"37.109",37109,"37.027",37027,"Maximilian","Hewitt","","219206","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:7ZV5u9zrE0GxuFf--ywJc","entries:events-2024-sro-sonoma:7ZV5u9zrE0GxuFf--ywJc","13778007","",8,"0 (8 → 8)","0"
"9","9","51","Adam Brickley","Am","7","15:28.757",928757,"1:51.605",111605,"80.803","6","1.167","0.043","0","7","17.535","0","","Adam","Brickley","1:51.679",111679,"","37.330",37330,"36.925",36925,"37.220",37220,"Adam","Brickley","","219295","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:hllIykDcba1dBQ4ydZFuz","entries:events-2024-sro-sonoma:hllIykDcba1dBQ4ydZFuz","12714404","",7,"-2 (7 → 9)","-2"
"10","10","44","Aidan Yoder","Am","7","14:53.167",893167,"1:51.634",111634,"80.782","7","1.196","0.029","0","28","17.535","0","","Aidan","Yoder","1:52.169",112169,"1","37.234",37234,"36.854",36854,"37.546",37546,"Aidan","Yoder","","219270","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:yuo93ihl41G8DnmqwgnEj","entries:events-2024-sro-sonoma:yuo93ihl41G8DnmqwgnEj","14864382","",28,"18 (28 → 10)","18"
