"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"3","Jason Kos","1","1","2:04.981",124981,"2:10.681",130681,"14:42:02.265","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.255",44255,"40.491",40491,"40.235",40235,"00:18.655",18655,"00:25.600",25600,"00:16.722",16722,"00:23.769",23769,"00:15.117",15117,"00:25.118",25118
"3","Jason Kos","2","2","2:05.881",125881,"4:16.562",256562,"14:44:08.146","Am","Yellow Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","39.644",39644,"39.366",39366,"46.871",46871,"00:16.515",16515,"00:23.129",23129,"00:16.240",16240,"00:23.126",23126,"00:16.910",16910,"00:29.961",29961
"3","Jason Kos","3","3","3:05.033",185033,"7:21.595",441595,"14:47:13.179","Am","Yellow Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","45.307",45307,"1:01.543",61543,"1:18.183",78183,"00:20.319",20319,"00:24.988",24988,"00:31.868",31868,"00:29.675",29675,"00:21.442",21442,"00:56.741",56741
"3","Jason Kos","4","4","3:07.571",187571,"10:29.166",629166,"14:50:20.750","Am","Yellow Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","1:01.810",61810,"1:09.162",69162,"56.599",56599,"00:23.342",23342,"00:38.468",38468,"00:33.790",33790,"00:35.372",35372,"00:21.227",21227,"00:35.372",35372
"3","Jason Kos","5","5","2:23.972",143972,"12:53.138",773138,"14:52:44.722","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","50.737",50737,"52.982",52982,"40.253",40253,"00:23.985",23985,"00:26.752",26752,"00:26.535",26535,"00:26.447",26447,"00:15.071",15071,"00:25.182",25182
"3","Jason Kos","6","6","1:57.310",117310,"14:50.448",890448,"14:54:42.032","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","39.105",39105,"38.874",38874,"39.331",39331,"00:16.303",16303,"00:22.802",22802,"00:16.214",16214,"00:22.660",22660,"00:15.392",15392,"00:23.939",23939
"3","Jason Kos","7","7","1:58.847",118847,"16:49.295",1009295,"14:56:40.879","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","40.584",40584,"39.411",39411,"38.852",38852,"00:16.203",16203,"00:24.381",24381,"00:16.421",16421,"00:22.990",22990,"00:14.861",14861,"00:23.991",23991
"3","Jason Kos","8","8","1:56.373",116373,"18:45.668",1125668,"14:58:37.252","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","39.574",39574,"38.454",38454,"38.345",38345,"00:16.453",16453,"00:23.121",23121,"00:16.062",16062,"00:22.392",22392,"00:14.535",14535,"00:23.810",23810
"3","Jason Kos","9","9","1:55.920",115920,"20:41.588",1241588,"15:00:33.172","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","39.153",39153,"38.522",38522,"38.245",38245,"00:16.286",16286,"00:22.867",22867,"00:16.203",16203,"00:22.319",22319,"00:14.479",14479,"00:23.766",23766
"3","Jason Kos","10","10","1:56.638",116638,"22:38.226",1358226,"15:02:29.810","Am","Green Flag","Jason","Kos","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh","11191062","","{""fields"":{""driver2tla"":""KOS"",""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":""KOS"",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":"""",""series"":""GR Cup""},""updatedAt"":""2024-04-06T01:27:05.192Z"",""id"":""entries:events-2024-sro-sonoma:vaHY25TfIhW2uLWrUMwSh"",""createdAt"":""2024-03-29T16:43:18.346Z"",""eventId"":""events:2024-sro-sonoma""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":"""",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","39.241",39241,"38.727",38727,"38.670",38670,"00:16.313",16313,"00:22.928",22928,"00:16.263",16263,"00:22.464",22464,"00:14.525",14525,"00:24.145",24145
