"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","5","Gresham Wagner","Am","23","46:10.993",2770993,"1:50.650",110650,"81.500","18","","","25","2","57.615","23","1:51.565","Gresham","Wagner","1:50.988",110988,"","37.260",37260,"36.587",36587,"36.803",36803,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","entries:events-2024-sro-sonoma:n3jOZhCceVZpasu5I9ppC","15257379","",2,"1 (2 → 1)","1"
"2","2","13","Westin Workman","Am","23","46:14.269",2774269,"1:51.292",111292,"81.030","16","3.276","3.276","18","1","57.615","0","1:51.522","Westin","Workman","1:51.354",111354,"","37.285",37285,"36.807",36807,"36.956",36956,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:sjlraKH2PvZE5g82dg01i","entries:events-2024-sro-sonoma:sjlraKH2PvZE5g82dg01i","15241424","",1,"-1 (1 → 2)","-1"
"3","3","55","Spike Kohlbecker","Am","23","46:14.538",2774538,"1:51.389",111389,"80.960","19","3.545","0.269","15","4","57.615","0","1:51.796","Spike","Kohlbecker","1:51.477",111477,"","37.352",37352,"36.791",36791,"37.027",37027,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:-pvSmOaXahTeWfiQIb_FB","entries:events-2024-sro-sonoma:-pvSmOaXahTeWfiQIb_FB","11385466","",4,"1 (4 → 3)","1"
"4","4","46","Lucas Weisenberg","Am","23","46:16.776",2776776,"1:51.071",111071,"81.191","22","5.783","2.238","12","5","57.615","0","1:52.209","Lucas","Weisenberg","1:51.196",111196,"","37.244",37244,"36.677",36677,"36.897",36897,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:ngyYstb4ROjtzKMsyLx1s","entries:events-2024-sro-sonoma:ngyYstb4ROjtzKMsyLx1s","12208074","",5,"1 (5 → 4)","1"
"5","5","99","Jaxon Bell","Am","23","46:28.549",2788549,"1:52.012",112012,"80.509","19","17.556","11.773","10","3","57.615","0","1:51.663","Jaxon","Bell","1:52.027",112027,"","37.402",37402,"36.990",36990,"37.210",37210,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:knzAoebx9uOyrs1FhnYTa","entries:events-2024-sro-sonoma:knzAoebx9uOyrs1FhnYTa","13153784","",3,"-2 (3 → 5)","-2"
"6","6","57","Mia Lovell","Am","23","46:31.777",2791777,"1:52.137",112137,"80.419","22","20.784","3.228","8","7","57.615","0","1:52.695","Mia","Lovell","1:52.280",112280,"","37.570",37570,"37.157",37157,"37.247",37247,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:YppPISRDS4CTeh-4Wfxc_","entries:events-2024-sro-sonoma:YppPISRDS4CTeh-4Wfxc_","10314665","",7,"1 (7 → 6)","1"
"7","7","51","Adam Brickley","Am","23","46:32.305",2792305,"1:52.081",112081,"80.460","22","21.312","0.528","6","9","57.615","0","1:52.798","Adam","Brickley","1:52.276",112276,"","37.507",37507,"37.051",37051,"37.211",37211,"Adam","Brickley","","219295","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:hllIykDcba1dBQ4ydZFuz","entries:events-2024-sro-sonoma:hllIykDcba1dBQ4ydZFuz","12714404","",9,"2 (9 → 7)","2"
"8","8","39","Maximilian Hewitt","Am","23","46:32.707",2792707,"1:52.080",112080,"80.460","22","21.714","0.402","4","6","57.615","0","1:52.428","Maximilian","Hewitt","1:52.163",112163,"","37.562",37562,"37.214",37214,"37.092",37092,"Maximilian","Hewitt","","219206","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:7ZV5u9zrE0GxuFf--ywJc","entries:events-2024-sro-sonoma:7ZV5u9zrE0GxuFf--ywJc","13778007","",6,"-2 (6 → 8)","-2"
"9","9","76","Steven Clemons","Am","23","46:33.222",2793222,"1:52.191",112191,"80.381","15","22.229","0.515","2","12","57.615","0","1:53.042","Steven","Clemons","1:52.246",112246,"","37.485",37485,"37.012",37012,"37.137",37137,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:CM3cEGJUuqgNQU9qV2Z9H","entries:events-2024-sro-sonoma:CM3cEGJUuqgNQU9qV2Z9H","13032211","",12,"3 (12 → 9)","3"
"10","10","89","Livio Galanti","Am","23","46:36.420",2796420,"1:51.788",111788,"80.671","23","25.427","3.198","1","11","57.615","0","1:52.980","Livio","Galanti","1:51.955",111955,"","37.489",37489,"37.188",37188,"37.089",37089,"Livio","Galanti","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","ITA","","entries:events-2024-sro-sonoma:PxGA3DPM8jHMuTgpK3lHP","entries:events-2024-sro-sonoma:PxGA3DPM8jHMuTgpK3lHP","11765029","",11,"1 (11 → 10)","1"
"11","11","14","Alex Garcia","Am","23","46:44.774",2804774,"1:52.134",112134,"80.422","15","33.781","8.354","0","17","57.615","0","1:53.765","Alex","Garcia","1:52.319",112319,"","37.403",37403,"37.157",37157,"37.403",37403,"Alex","Garcia","","219120","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:IHkJkBZHrqEZsDgjYA8rX","entries:events-2024-sro-sonoma:IHkJkBZHrqEZsDgjYA8rX","15057570","",17,"6 (17 → 11)","6"
"12","12","50","Casey Mashore","Am","23","46:45.063",2805063,"1:52.055",112055,"80.478","21","34.070","0.289","0","15","57.615","0","1:53.533","Casey","Mashore","1:52.189",112189,"","37.445",37445,"37.122",37122,"37.129",37129,"Casey","Mashore","","219242","GR Cup","Toyota GR86","Mashore Autobody","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:jXAGJ3mJteaTD55tSNGob","entries:events-2024-sro-sonoma:jXAGJ3mJteaTD55tSNGob","10127188","",15,"3 (15 → 12)","3"
"13","13","24","Jade Avedisian","Am","23","46:45.468",2805468,"1:52.233",112233,"80.351","20","34.475","0.405","0","14","57.615","0","1:53.294","Jade","Avedisian","1:52.340",112340,"","37.505",37505,"37.345",37345,"37.167",37167,"Jade","Avedisian","","219104","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:AvKgAMG522yRRiHbB7bQp","entries:events-2024-sro-sonoma:AvKgAMG522yRRiHbB7bQp","10544198","",14,"1 (14 → 13)","1"
"14","14","7","Spencer Bucknum","Am","23","46:46.285",2806285,"1:52.349",112349,"80.268","17","35.292","0.817","0","18","57.615","0","1:53.800","Spencer","Bucknum","1:52.435",112435,"","37.584",37584,"37.092",37092,"37.485",37485,"Spencer","Bucknam","","218631","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:uVdnKhpy227Y-HXgs8KFn","entries:events-2024-sro-sonoma:uVdnKhpy227Y-HXgs8KFn","13334705","",18,"4 (18 → 14)","4"
"15","15","88","Henry Drury","Am","23","46:52.969",2812969,"1:52.556",112556,"80.120","21","41.976","6.684","0","21","57.615","0","1:54.130","Henry","Drury","1:52.711",112711,"","37.652",37652,"37.227",37227,"37.339",37339,"Henry","Drury","","219218","GR Cup","Toyota GR86","Precision Racing LA w/ PT Autosport","Toyota Gazoo Racing","GBR","","entries:events-2024-sro-sonoma:OcAynNsFV6Oy_Gsdp9UP7","entries:events-2024-sro-sonoma:OcAynNsFV6Oy_Gsdp9UP7","13339178","",21,"6 (21 → 15)","6"
"16","16","34","Braydon Arthur","Am","23","46:53.201",2813201,"1:52.224",112224,"80.357","21","42.208","0.232","0","13","57.615","0","1:53.123","Braydon","Arthur","1:52.549",112549,"","37.632",37632,"37.217",37217,"37.375",37375,"Braydon","Arthur","","219195","GR Cup","Toyota GR86","JMF Motorsports","Toyota Gazoo Racing","CAN","","entries:events-2024-sro-sonoma:Ab4n6sPvrM3cvvgdu-YCH","entries:events-2024-sro-sonoma:Ab4n6sPvrM3cvvgdu-YCH","15222059","",13,"-3 (13 → 16)","-3"
"17","17","22","Devin Anderson","Am","23","46:55.847",2815847,"1:52.528",112528,"80.140","18","44.854","2.646","0","20","57.615","0","1:53.918","Devin","Anderson","1:52.922",112922,"","37.730",37730,"37.096",37096,"37.417",37417,"Devin","Anderson","","219213","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:kQ7gYErub8yPlNcNT70q7","entries:events-2024-sro-sonoma:kQ7gYErub8yPlNcNT70q7","11308725","",20,"3 (20 → 17)","3"
"18","18","77","William Lambros","Am","23","47:12.855",2832855,"1:53.684",113684,"79.325","20","1:01.862","17.008","0","24","57.615","0","1:54.637","William","Lambros","1:53.916",113916,"","38.026",38026,"37.905",37905,"37.753",37753,"William","Lambros","","219145","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:oQGjSuVGUVka8EMSR6VNv","entries:events-2024-sro-sonoma:oQGjSuVGUVka8EMSR6VNv","15422081","",24,"6 (24 → 18)","6"
"19","19","43","Alexandra Hainer","Am","23","47:14.000",2834000,"1:53.350",113350,"79.559","20","1:03.007","1.145","0","25","57.615","0","1:54.656","Alexandra","Hainer","1:53.423",113423,"","37.882",37882,"37.351",37351,"37.527",37527,"Alexandra","Hainer","","219199","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:U9-IOvqE7zzNVnIT3vR6G","entries:events-2024-sro-sonoma:U9-IOvqE7zzNVnIT3vR6G","11358964","",25,"6 (25 → 19)","6"
"20","20","21","Ford Koch","Am","23","47:14.238",2834238,"1:52.413",112413,"80.222","13","1:03.245","0.238","0","19","57.615","0","1:53.886","Ford","Koch","1:52.615",112615,"","37.666",37666,"37.379",37379,"37.187",37187,"Ford","Koch","","219102","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:qpzMfgBsWcT0lHbaGmUZO","entries:events-2024-sro-sonoma:qpzMfgBsWcT0lHbaGmUZO","10837109","",19,"-1 (19 → 20)","-1"
"21","21","09","Maddie Aust","Am","23","47:19.521",2839521,"1:52.840",112840,"79.918","22","1:08.528","5.283","0","23","57.615","0","1:54.591","Maddie","Aust","1:53.153",113153,"","37.744",37744,"37.362",37362,"37.438",37438,"Maddie","Aust","","218393","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:q49my_GvRXyEAReaYhPPF","entries:events-2024-sro-sonoma:q49my_GvRXyEAReaYhPPF","14061566","",23,"2 (23 → 21)","2"
"22","22","11","Farran Davis","Am","23","47:27.703",2847703,"1:54.201",114201,"78.966","22","1:16.710","8.182","0","26","57.615","0","1:55.622","Farran","Davis","1:54.293",114293,"","38.394",38394,"37.646",37646,"37.623",37623,"Farran","Davis","","219268","GR Cup","Toyota GR86","RVA Graphics Motorsports by Speed Syndicate","Toyota Gazoo Racing","USA","","entries:events-2024-sro-sonoma:-EYJ7oJHT6CdyLRRCsy2Y","entries:events-2024-sro-sonoma:-EYJ7oJHT6CdyLRRCsy2Y","10741809","",26,"4 (26 → 22)","4"
"23","23","25","Alfonso Diaz","Am","23","47:29.268",2849268,"1:54.383",114383,"78.840","12","1:18.275","1.565","0","22","57.615","0","1:54.322","Alfonso","Diaz","1:54.418",114418,"","38.333",38333,"37.643",37643,"37.793",37793,"Alfonso","Diaz","","219082","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing","PRI","","entries:events-2024-sro-sonoma:b8xr8nRiIOdsIVhPnwZDg","entries:events-2024-sro-sonoma:b8xr8nRiIOdsIVhPnwZDg","13583245","",22,"-1 (22 → 23)","-1"
