Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;5;Am;1;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;23;46:10.993;;;131.16;1:50.650;18
2;13;Am;2;Westin Workman;USA;Toyota GR86;Copeland Motorsports;23;46:14.269;3.276;3.276;130.4;1:51.292;16
3;55;Am;3;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;23;46:14.538;0.269;3.545;130.29;1:51.389;19
4;46;Am;4;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;23;46:16.776;2.238;5.783;130.66;1:51.071;22
5;99;Am;5;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;23;46:28.549;11.773;17.556;129.57;1:52.012;19
6;57;Am;6;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;23;46:31.777;3.228;20.784;129.42;1:52.137;22
7;51;Am;7;Adam Brickley;USA;Toyota GR86;Copeland Motorsports;23;46:32.305;0.528;21.312;129.49;1:52.081;22
8;39;Am;8;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;23;46:32.707;0.402;21.714;129.49;1:52.080;22
9;76;Am;9;Steven Clemons;USA;Toyota GR86;BSI Racing;23;46:33.222;0.515;22.229;129.36;1:52.191;15
10;89;Am;10;Livio Galanti;ITA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;23;46:36.420;3.198;25.427;129.83;1:51.788;23
11;14;Am;11;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;23;46:44.774;8.354;33.781;129.43;1:52.134;15
12;50;Am;12;Casey Mashore;USA;Toyota GR86;Mashore Autobody;23;46:45.063;0.289;34.070;129.52;1:52.055;21
13;24;Am;13;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;23;46:45.468;0.405;34.475;129.31;1:52.233;20
14;7;Am;14;Spencer Bucknum;USA;Toyota GR86;Precision Racing LA;23;46:46.285;0.817;35.292;129.18;1:52.349;17
15;88;Am;15;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;23;46:52.969;6.684;41.976;128.94;1:52.556;21
16;34;Am;16;Braydon Arthur;CAN;Toyota GR86;JMF Motorsports;23;46:53.201;0.232;42.208;129.32;1:52.224;21
17;22;Am;17;Devin Anderson;USA;Toyota GR86;TechSport Racing;23;46:55.847;2.646;44.854;128.97;1:52.528;18
18;77;Am;18;William Lambros;USA;Toyota GR86;Skip Barber Racing;23;47:12.855;17.008;1:01.862;127.66;1:53.684;20
19;43;Am;19;Alexandra Hainer;USA;Toyota GR86;Precision Racing LA;23;47:14.000;1.145;1:03.007;128.04;1:53.350;20
20;21;Am;20;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;23;47:14.238;0.238;1:03.245;129.1;1:52.413;13
21;09;Am;21;Maddie Aust;USA;Toyota GR86;BSI Racing;23;47:19.521;5.283;1:08.528;128.62;1:52.840;22
22;11;Am;22;Farran Davis;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;23;47:27.703;8.182;1:16.710;127.08;1:54.201;22
23;25;Am;23;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;23;47:29.268;1.565;1:18.275;126.88;1:54.383;12
24;3;Am;24;Jason Kos;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;23;47:38.542;9.274;1:27.549;126.43;1:54.787;20
25;15;Am;25;Bennett Muldoon;USA;Toyota GR86;Bennett Motorsports;23;47:45.308;6.766;1:34.315;128.95;1:52.544;22
26;31;Am;26;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;23;47:59.869;14.561;1:48.876;127.54;1:53.794;19
27;61;Am;27;James Klimas;USA;Toyota GR86;Skip Barber Racing;22;46:20.815;1 Lap;1 Lap;126.78;1:54.473;19
28;44;Am;28;Aidan Yoder;USA;Toyota GR86;Precision Racing LA;;3.150;22 Laps;23 Laps;;;0
29;80;Am;29;Tyler Wettengel;USA;Toyota GR86;Nitro Motorsports;;3.312;0.162;23 Laps;;;0
