"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","1:54.074","1:54.090","1:54.169","1:54.314","1:54.379","1:54.470","1:54.481","1:54.528","1:54.564","1:54.664","01:54.373"
"GR Cup","Am","5","1:51.102","1:51.322","1:51.332","1:51.590","1:51.602","1:51.623","1:51.647","1:51.728","1:51.738","1:51.750","01:51.543"
"GR Cup","Am","7","1:52.505","1:52.542","1:52.604","1:52.664","1:52.673","1:52.772","1:52.802","1:52.810","1:52.813","1:52.819","01:52.700"
"GR Cup","Am","09","1:52.323","1:52.474","1:52.833","1:52.972","1:53.198","1:53.285","1:53.375","1:53.507","1:53.720","1:53.721","01:53.141"
"GR Cup","Am","11","1:53.975","1:54.246","1:54.248","1:54.525","1:54.567","1:54.583","1:54.598","1:54.720","1:54.763","1:54.877","01:54.510"
"GR Cup","Am","13","1:51.355","1:51.402","1:51.488","1:51.509","1:51.601","1:51.680","1:51.752","1:51.799","1:51.813","1:51.814","01:51.621"
"GR Cup","Am","14","1:52.699","1:52.717","1:52.745","1:52.916","1:53.007","1:53.039","1:53.047","1:53.053","1:53.125","1:53.153","01:52.950"
"GR Cup","Am","15","1:52.957","1:53.282","1:53.425","1:53.589","1:53.684","1:53.766","1:53.876","1:53.929","1:54.015","1:54.042","01:53.657"
"GR Cup","Am","21","1:52.488","1:52.717","1:52.722","1:52.732","1:52.842","1:52.958","1:53.127","1:53.212","1:53.212","1:53.412","01:52.942"
"GR Cup","Am","22","1:52.098","1:52.473","1:52.980","1:53.050","1:53.196","1:54.170","1:55.460","2:01.659","","","01:54.386"
"GR Cup","Am","24","1:52.698","1:52.854","1:52.920","1:53.224","1:53.519","1:53.520","1:54.781","2:01.318","","","01:54.354"
"GR Cup","Am","25","1:54.431","1:54.621","1:54.971","1:54.976","1:55.131","1:55.139","1:55.244","1:55.313","1:55.494","1:55.553","01:55.087"
"GR Cup","Am","31","1:53.090","1:53.139","1:53.400","1:53.414","1:53.427","1:53.449","1:53.828","1:53.838","1:54.172","1:54.499","01:53.626"
"GR Cup","Am","34","1:52.584","1:52.671","1:52.703","1:52.756","1:52.827","1:52.835","1:52.895","1:52.970","1:53.051","1:53.096","01:52.839"
"GR Cup","Am","39","1:52.526","1:52.589","1:52.630","1:52.722","1:52.737","1:52.742","1:52.753","1:52.761","1:52.830","1:53.005","01:52.730"
"GR Cup","Am","43","1:53.362","1:53.538","1:53.605","1:53.610","1:53.650","1:53.701","1:53.770","1:53.964","1:54.022","1:54.073","01:53.730"
"GR Cup","Am","44","1:52.592","1:52.693","1:52.725","1:52.736","1:52.740","1:52.761","1:52.787","1:52.880","1:52.903","1:52.920","01:52.774"
"GR Cup","Am","46","1:51.129","1:51.381","1:51.405","1:51.474","1:51.478","1:51.485","1:51.492","1:51.519","1:51.594","1:51.753","01:51.471"
"GR Cup","Am","50","1:53.178","1:53.217","1:53.280","1:53.309","1:53.359","1:53.408","1:53.480","1:53.524","1:53.827","1:53.842","01:53.442"
"GR Cup","Am","51","1:51.843","1:51.890","1:51.898","1:52.092","1:52.095","1:52.236","1:52.271","1:52.353","1:52.361","1:52.475","01:52.151"
"GR Cup","Am","55","1:51.398","1:51.439","1:51.523","1:51.556","1:51.576","1:51.588","1:51.608","1:51.734","1:51.788","1:51.820","01:51.603"
"GR Cup","Am","57","1:52.346","1:52.396","1:52.477","1:52.509","1:52.580","1:52.589","1:52.615","1:52.652","1:52.762","1:52.795","01:52.572"
"GR Cup","Am","61","1:55.053","1:55.530","1:55.575","1:55.943","1:56.092","1:56.259","1:56.320","1:56.432","1:56.704","1:57.320","01:56.123"
"GR Cup","Am","76","1:52.599","1:52.632","1:52.713","1:52.733","1:52.784","1:52.991","1:53.031","1:53.169","1:53.272","1:53.475","01:52.940"
"GR Cup","Am","77","1:52.906","1:53.202","1:53.229","1:53.595","1:53.644","1:53.727","1:53.729","1:53.739","1:53.851","1:53.903","01:53.553"
"GR Cup","Am","80","1:52.571","1:52.622","1:52.846","1:53.065","1:53.330","1:53.459","1:53.519","1:53.539","1:53.598","1:53.970","01:53.252"
"GR Cup","Am","88","1:52.614","1:52.762","1:52.770","1:52.846","1:52.902","1:53.273","1:53.339","1:53.388","1:53.415","1:53.424","01:53.073"
"GR Cup","Am","89","1:52.548","1:52.572","1:52.644","1:52.689","1:52.947","1:52.960","1:53.215","1:53.503","1:53.539","1:53.639","01:53.026"
"GR Cup","Am","99","1:51.735","1:51.769","1:51.884","1:51.990","1:52.060","1:52.141","1:52.214","1:52.277","1:52.391","1:52.473","01:52.093"
