NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;INT-1_time;INT-1_elapsed;IM2a_time;IM2a_elapsed;INT-2_time;INT-2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;2:46.289;0;;1:11.762;0;46.383;0;48.144;0;83.1;2:46.289;10:02:46.289;1:11.762;0:46.383;0:48.144;;Karl Forman;0:00:21.604;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;71.762;46.383;48.144;42.165;42.165;29.597;1:11.762;17.814;1:29.576;28.569;1:58.145;16.249;2:14.394;31.895;2:46.289;
03;1;2;4:25.133;0;B;46.616;0;55.929;0;2:42.588;0;52.1;7:11.422;10:07:11.422;0:46.616;0:55.929;2:42.588;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;46.616;55.929;162.588;18.119;18.119;28.497;46.616;18.275;1:04.891;37.654;1:42.545;23.938;2:06.483;2:18.650;4:25.133;
03;1;3;2:24.152;0;;54.687;0;44.505;0;44.960;0;95.9;9:35.574;10:09:35.574;0:54.687;0:44.505;0:44.960;;Karl Forman;0:02:03.179;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;54.687;44.505;44.960;35.630;35.630;19.057;54.687;26.014;1:20.701;18.491;1:39.192;24.846;2:04.038;20.114;2:24.152;
03;1;4;2:13.601;0;;46.112;0;44.355;0;43.134;0;103.4;11:49.175;10:11:49.175;0:46.112;0:44.355;0:43.134;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;46.112;44.355;43.134;26.480;26.480;19.632;46.112;25.724;1:11.836;18.631;1:30.467;24.789;1:55.256;18.345;2:13.601;
03;1;5;2:14.219;0;;46.884;0;43.954;0;43.381;0;102.9;14:03.394;10:14:03.394;0:46.884;0:43.954;0:43.381;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;46.884;43.954;43.381;29.386;29.386;17.498;46.884;29.153;1:16.037;14.801;1:30.838;28.215;1:59.053;15.166;2:14.219;
03;1;6;2:14.369;0;;45.396;0;43.851;0;45.122;0;102.8;16:17.763;10:16:17.763;0:45.396;0:43.851;0:45.122;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;RF;45.396;43.851;45.122;30.282;30.282;15.114;45.396;29.844;1:15.240;14.007;1:29.247;29.090;1:58.337;16.032;2:14.369;
03;1;7;3:55.583;0;B;48.422;0;48.267;0;2:18.894;0;58.7;20:13.346;10:20:13.346;0:48.422;0:48.267;2:18.894;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;48.422;48.267;138.894;32.682;32.682;15.740;48.422;30.498;1:18.920;17.769;1:36.689;28.703;2:05.392;1:50.191;3:55.583;
03;1;8;2:22.408;0;;55.931;0;43.474;0;43.003;0;97.0;22:35.754;10:22:35.754;0:55.931;0:43.474;0:43.003;;Karl Forman;0:01:47.720;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;55.931;43.474;43.003;43.137;43.137;12.794;55.931;32.788;1:28.719;10.686;1:39.405;32.052;2:11.457;10.951;2:22.408;
03;1;9;2:14.582;0;;44.500;0;44.747;0;45.335;0;102.7;24:50.336;10:24:50.336;0:44.500;0:44.747;0:45.335;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;44.500;44.747;45.335;33.944;33.944;10.556;44.500;33.726;1:18.226;11.021;1:29.247;31.847;2:01.094;13.488;2:14.582;
03;1;10;2:09.668;0;;43.879;0;43.302;0;42.487;0;106.6;27:00.004;10:27:00.004;0:43.879;0:43.302;0:42.487;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;43.879;43.302;42.487;31.172;31.172;12.707;43.879;31.733;1:15.612;11.569;1:27.181;31.748;1:58.929;10.739;2:09.668;
