NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
17;van der Steur Racing;Toyota GR86;Am;Miles;Hewitt;12;2:09.566;11;2:09.688;10;2:09.914;9;2:12.538;5;2:13.420;4;;0;;0;;0;;0;;0;2:11.025;
93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Patrick;Brunson;11;2:10.002;10;2:10.367;11;2:12.296;8;2:12.869;9;2:15.150;5;2:18.682;4;;0;;0;;0;;0;2:13.227;
50;Mashore Autobody;Toyota GR86;Am;Casey;Mashore;6;2:12.172;6;2:12.735;5;2:15.775;4;2:22.556;3;;0;;0;;0;;0;;0;;0;2:15.809;
89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Livio;Galanti;3;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;12;2:08.748;12;2:09.601;11;2:09.668;10;2:13.601;4;2:14.219;5;2:14.582;9;;0;;0;;0;;0;2:11.736;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;11;2:07.790;11;2:08.277;8;2:09.345;10;2:09.540;9;2:12.446;4;2:43.390;5;;0;;0;;0;;0;2:15.131;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis;11;2:12.502;9;2:12.853;10;2:13.065;8;2:13.504;11;2:18.440;5;2:22.087;4;;0;;0;;0;;0;2:15.408;
3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jason;Kos;12;2:10.364;11;2:10.482;12;2:11.541;9;2:12.822;10;2:15.483;4;2:16.569;5;;0;;0;;0;;0;2:12.876;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;12;2:05.980;11;2:06.749;10;2:06.861;9;2:09.454;5;2:09.972;6;2:10.008;4;2:12.999;12;;0;;0;;0;2:08.860;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;11;2:05.412;11;2:06.054;9;2:06.194;10;2:06.569;8;2:10.829;5;2:11.034;4;;0;;0;;0;;0;2:07.682;
98;TechSport;Toyota GR86;Am;Max;Schweid;12;2:06.286;11;2:07.504;9;2:07.527;10;2:08.832;6;2:09.578;5;2:10.913;4;;0;;0;;0;;0;2:08.440;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;11;2:11.653;11;2:13.618;8;2:13.723;10;2:14.325;5;2:14.463;4;2:15.661;9;;0;;0;;0;;0;2:13.907;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;11;2:06.767;11;2:07.445;10;2:07.472;8;2:07.618;9;2:10.682;4;2:12.283;5;;0;;0;;0;;0;2:08.711;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;11;2:08.803;10;2:09.180;9;2:09.277;11;2:10.513;8;2:10.655;5;2:12.743;4;;0;;0;;0;;0;2:10.195;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;12;2:07.350;11;2:07.947;10;2:08.092;9;2:11.164;4;2:12.736;5;;0;;0;;0;;0;;0;2:09.457;
71;TechSport;Toyota GR86;Am;Christian;Weir;12;2:04.818;12;2:05.778;11;2:05.952;10;2:06.444;9;2:09.128;6;2:09.243;5;2:11.005;4;;0;;0;;0;2:07.481;
14;Skip Barber Racing;Toyota GR86;Am;Alex;Garcia;10;2:07.191;10;2:07.696;9;2:08.430;7;2:08.929;8;2:11.948;2;2:12.671;3;;0;;0;;0;;0;2:09.477;
73;Precision Racing LA;Toyota GR86;Am;Mike;Lamarra;12;2:07.398;12;2:07.737;11;2:07.958;10;2:09.077;9;2:13.611;4;2:13.903;5;;0;;0;;0;;0;2:09.947;
67;BSI Racing;Toyota GR86;Am;Shea;Holbrook;9;2:07.991;9;2:11.214;8;2:11.747;7;2:16.105;4;2:20.038;3;;0;;0;;0;;0;;0;2:13.419;
47;TechSport;Toyota GR86;Am;Ayden;Kirk;12;2:05.380;11;2:05.699;10;2:07.994;9;2:09.057;6;2:09.719;5;2:10.036;12;2:10.661;4;;0;;0;;0;2:08.363;
