POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;7;10;1:52.106;-;-;123.3;15;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;USA;;;;;;;
2;13;13;1:52.131;+0.025;+0.025;123.2;14;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;USA;;;;;;;
3;2;15;1:52.143;+0.037;+0.012;123.2;15;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
4;55;12;1:52.162;+0.056;+0.019;123.2;14;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;USA;;;;;;;
5;46;3;1:52.201;+0.095;+0.039;123.2;14;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;USA;;;;;;;
6;98;10;1:52.237;+0.131;+0.036;123.1;15;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
7;31;9;1:52.693;+0.587;+0.456;122.6;14;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
8;72;3;1:52.697;+0.591;+0.004;122.6;15;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;USA;;;;;;;
9;16;14;1:52.797;+0.691;+0.100;122.5;15;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;John;Dean*;;;USA;;;;;;;
10;21;13;1:52.954;+0.848;+0.157;122.3;15;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;USA;;;;;;;
11;78;8;1:52.986;+0.880;+0.032;122.3;14;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Ayars;;;USA;;;;;;;
12;41;6;1:53.051;+0.945;+0.065;122.2;9;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;USA;;;;;;;
13;47;8;1:53.120;+1.014;+0.069;122.2;15;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ayden;Kirk;;;USA;;;;;;;
14;113;9;1:53.159;+1.053;+0.039;122.1;16;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
