CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;15;10;1:52.106;;;123.3;
Am;2;2;13;BSI Racing;Toyota GR86;Westin Workman;14;13;1:52.131;+0.025;+0.025;123.2;
Am;3;3;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;15;15;1:52.143;+0.037;+0.012;123.2;
Am;4;4;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;14;12;1:52.162;+0.056;+0.019;123.2;
Am;5;5;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;14;3;1:52.201;+0.095;+0.039;123.2;
Am;6;6;98;TechSport;Toyota GR86;Max Schweid;15;10;1:52.237;+0.131;+0.036;123.1;
Am;7;7;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;14;9;1:52.693;+0.587;+0.456;122.6;
Am;8;8;72;TechSport;Toyota GR86;Ethan Goulart;15;3;1:52.697;+0.591;+0.004;122.6;
Am;9;9;16;Copeland Motorsports;Toyota GR86;John Dean*;15;14;1:52.797;+0.691;+0.100;122.5;
Am;10;10;21;Copeland Motorsports;Toyota GR86;Ford Koch;15;13;1:52.954;+0.848;+0.157;122.3;
Am;11;11;78;Nitro Motorsports;Toyota GR86;Ethan Ayars;14;8;1:52.986;+0.880;+0.032;122.3;
Am;12;12;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;9;6;1:53.051;+0.945;+0.065;122.2;
Am;13;13;47;TechSport;Toyota GR86;Ayden Kirk;15;8;1:53.120;+1.014;+0.069;122.2;
Am;14;14;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;16;9;1:53.159;+1.053;+0.039;122.1;
Am;15;15;88;PT Autosport with Copeland Motorsports;Toyota GR86;Zach Hollingshead;15;6;1:53.195;+1.089;+0.036;122.1;
Am;16;16;71;TechSport;Toyota GR86;Christian Weir;15;10;1:53.412;+1.306;+0.217;121.8;
Am;17;17;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti*;15;10;1:53.644;+1.538;+0.232;121.6;
Am;18;18;50;Mashore Autobody;Toyota GR86;Casey Mashore;14;8;1:53.741;+1.635;+0.097;121.5;
Am;19;19;67;BSI Racing;Toyota GR86;Shea Holbrook;15;15;1:53.927;+1.821;+0.186;121.3;
Am;20;20;15;TechSport;Toyota GR86;Brett Kowalski;15;7;1:54.247;+2.141;+0.320;120.9;
Am;21;21;14;Skip Barber Racing;Toyota GR86;Alex Garcia;13;4;1:54.248;+2.142;+0.001;120.9;
Am;22;22;11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Farran Davis*;16;16;1:54.265;+2.159;+0.017;120.9;
Am;23;23;3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Jason Kos*;16;9;1:54.322;+2.216;+0.057;120.9;
Am;24;24;51;BSI Racing;Toyota GR86;Massimo Sunseri;15;11;1:54.513;+2.407;+0.191;120.7;
Am;25;25;73;Precision Racing LA;Toyota GR86;Mike Lamarra*;15;14;1:54.725;+2.619;+0.212;120.4;
Am;26;26;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;16;14;1:54.856;+2.750;+0.131;120.3;
Am;27;27;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;13;6;1:54.866;+2.760;+0.010;120.3;
Am;28;28;17;van der Steur Racing;Toyota GR86;Miles Hewitt;15;13;1:54.891;+2.785;+0.025;120.3;
Am;29;29;03;Precision Racing LA;Toyota GR86;Karl Forman;15;13;1:55.352;+3.246;+0.461;119.8;
Am;30;30;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;14;13;1:56.776;+4.670;+1.424;118.3;
Am;31;31;12;Copeland Motorsports;Toyota GR86;John Lennon*;15;13;1:57.998;+5.892;+1.222;117.1;
