TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1743197732;3/28/2025 9:35:32 PM;16.01;29.2;45.41;1013.5;5.4;209;0;
1743197795;3/28/2025 9:36:35 PM;15.98;29.2;44.8;1013.5;6.48;103;0;
1743197857;3/28/2025 9:37:37 PM;15.97;29.1;45.63;1013.6;3.6;141;0;
1743197920;3/28/2025 9:38:40 PM;15.98;29.1;46.45;1013.7;7.2;180;0;
1743197983;3/28/2025 9:39:43 PM;16.04;29.1;46.93;1013.7;5.04;234;0;
1743198045;3/28/2025 9:40:45 PM;16.08;28.9;46.38;1013.5;6.84;103;0;
1743198108;3/28/2025 9:41:48 PM;16.07;28.8;45.8;1013.5;5.4;151;0;
1743198171;3/28/2025 9:42:51 PM;16.07;28.9;47.73;1013.3;18.36;244;0;
1743198233;3/28/2025 9:43:53 PM;16.05;29;46.75;1013.4;12.24;228;0;
1743198296;3/28/2025 9:44:56 PM;15.94;28.9;47.81;1013.4;13.68;208;0;
1743198359;3/28/2025 9:45:59 PM;15.85;28.8;47.2;1013.4;10.8;230;0;
1743198421;3/28/2025 9:47:01 PM;15.81;28.8;46.79;1013.4;4.68;160;0;
1743198484;3/28/2025 9:48:04 PM;15.72;28.8;46.61;1013.5;11.16;239;0;
1743198547;3/28/2025 9:49:07 PM;15.67;28.5;48.03;1013.4;7.56;236;0;
1743198610;3/28/2025 9:50:10 PM;15.66;28.3;47.7;1013.4;7.2;202;0;
1743198672;3/28/2025 9:51:12 PM;15.63;28.2;48.14;1013.4;5.04;226;0;
1743198735;3/28/2025 9:52:15 PM;15.57;27.9;48.22;1013.2;18.72;247;0;
1743198798;3/28/2025 9:53:18 PM;15.55;27.8;48.4;1013.4;10.44;229;0;
1743198860;3/28/2025 9:54:20 PM;15.59;27.8;49.6;1013.4;6.12;163;0;
1743198923;3/28/2025 9:55:23 PM;15.62;27.7;49.22;1013.4;8.28;199;0;
1743198986;3/28/2025 9:56:26 PM;15.63;27.4;49.32;1013.5;6.84;232;0;
1743199048;3/28/2025 9:57:28 PM;15.6;26.9;49.41;1013.2;22.32;242;0;
1743199111;3/28/2025 9:58:31 PM;15.46;27;48.79;1013.3;11.88;224;0;
1743199174;3/28/2025 9:59:34 PM;15.42;27;49.76;1013.3;7.92;230;0;
1743199236;3/28/2025 10:00:36 PM;15.43;27.1;51.61;1013.3;9;193;0;
1743199297;3/28/2025 10:01:37 PM;15.38;26.6;51.52;1013.2;12.24;206;0;
1743199362;3/28/2025 10:02:42 PM;15.35;26.6;51.5;1013.3;12.6;229;0;
1743199424;3/28/2025 10:03:44 PM;15.31;26.6;50.4;1013.3;12.24;225;0;
1743199487;3/28/2025 10:04:47 PM;15.31;26.5;51.61;1013.3;11.16;228;0;
