TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1743264307;3/29/2025 4:05:07 PM;9.79;14.1;77.99;1014.5;5.76;248;0;
1743264370;3/29/2025 4:06:10 PM;9.79;14.3;78.01;1014.5;5.76;248;0;
1743264433;3/29/2025 4:07:13 PM;9.85;14.4;79.71;1014.5;1.8;241;0;
1743264495;3/29/2025 4:08:15 PM;9.91;14.5;78.34;1014.5;5.04;253;0;
1743264558;3/29/2025 4:09:18 PM;9.95;14.6;77.32;1014.4;4.68;263;0;
1743264621;3/29/2025 4:10:21 PM;9.96;14.7;78.24;1014.4;1.08;261;0;
1743264683;3/29/2025 4:11:23 PM;9.99;14.7;78.22;1014.4;2.52;242;0;
1743264746;3/29/2025 4:12:26 PM;10.02;14.9;77.71;1014.4;2.52;324;0;
1743264809;3/29/2025 4:13:29 PM;10.07;15;77.37;1014.4;2.88;271;0;
1743264871;3/29/2025 4:14:31 PM;10.09;15.1;76.77;1014.4;4.68;242;0;
1743264934;3/29/2025 4:15:34 PM;10.15;15.2;77.29;1014.4;2.16;222;0;
1743264997;3/29/2025 4:16:37 PM;10.18;15.3;76.78;1014.4;2.88;256;0;
1743265059;3/29/2025 4:17:39 PM;10.21;15.4;77.05;1014.4;2.52;266;0;
1743265122;3/29/2025 4:18:42 PM;10.24;15.4;76.79;1014.4;3.24;296;0;
1743265184;3/29/2025 4:19:44 PM;10.3;15.7;77.01;1014.4;4.68;249;0;
