NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;INT-1_time;INT-1_elapsed;IM2a_time;IM2a_elapsed;INT-2_time;INT-2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;3:15.748;0;;1:40.297;0;47.264;0;48.187;0;70.6;3:15.748;08:53:15.748;1:40.297;0:47.264;0:48.187;156.1;Karl Forman;0:00:51.725;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;100.297;47.264;48.187;1:12.220;1:12.220;28.077;1:40.297;19.110;1:59.407;28.154;2:27.561;19.619;2:47.180;28.568;3:15.748;
03;1;2;2:18.822;0;;47.888;0;45.956;2;44.978;2;99.5;5:34.570;08:55:34.570;0:47.888;0:45.956;0:44.978;157.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;47.888;45.956;44.978;20.176;20.176;27.712;47.888;18.621;1:06.509;27.335;1:33.844;17.669;1:51.513;27.309;2:18.822;
03;1;3;2:18.319;2;;46.431;0;46.746;0;45.142;0;99.9;7:52.889;08:57:52.889;0:46.431;0:46.746;0:45.142;158.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;46.431;46.746;45.142;19.583;19.583;26.848;46.431;18.292;1:04.723;28.454;1:33.177;17.580;1:50.757;27.562;2:18.319;
03;1;4;5:27.352;0;B;46.377;2;48.795;0;3:52.180;0;42.2;13:20.241;09:03:20.241;0:46.377;0:48.795;3:52.180;159.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;46.377;48.795;232.180;19.559;19.559;26.818;46.377;18.413;1:04.790;30.382;1:35.172;20.962;1:56.134;3:31.218;5:27.352;
03;1;5;2:58.938;0;B;56.911;0;46.270;0;1:15.757;0;77.2;16:19.179;09:06:19.179;0:56.911;0:46.270;1:15.757;151.0;Karl Forman;0:03:19.432;Am;;Precision Racing LA;Toyota Gazoo Racing;FF;56.911;46.270;75.757;29.855;29.855;27.056;56.911;18.588;1:15.499;27.682;1:43.181;18.660;2:01.841;57.097;2:58.938;
11;1;1;3:17.797;0;;1:34.925;0;51.940;0;50.932;0;69.9;3:17.797;08:53:17.797;1:34.925;0:51.940;0:50.932;132.0;Farran Davis*;0:00:41.503;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;94.925;51.940;50.932;1:03.963;1:03.963;30.962;1:34.925;21.470;1:56.395;30.470;2:26.865;19.693;2:46.558;31.239;3:17.797;
11;1;2;2:29.387;0;;50.788;0;49.905;0;48.694;0;92.5;5:47.184;08:55:47.184;0:50.788;0:49.905;0:48.694;138.1;Farran Davis*;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;50.788;49.905;48.694;21.769;21.769;29.019;50.788;20.470;1:11.258;29.435;1:40.693;19.517;2:00.210;29.177;2:29.387;
11;1;3;2:24.791;2;;49.695;2;47.950;2;47.146;2;95.4;8:11.975;08:58:11.975;0:49.695;0:47.950;0:47.146;149.2;Farran Davis*;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;49.695;47.950;47.146;21.064;21.064;28.631;49.695;19.719;1:09.414;28.231;1:37.645;18.391;1:56.036;28.755;2:24.791;
11;1;4;5:19.491;0;B;50.974;0;55.428;0;3:33.089;0;43.2;13:31.466;09:03:31.466;0:50.974;0:55.428;3:33.089;144.0;Farran Davis*;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;50.974;55.428;213.089;21.639;21.639;29.335;50.974;21.072;1:12.046;34.356;1:46.402;21.138;2:07.540;3:11.951;5:19.491;
11;1;5;2:52.238;0;;1:08.346;0;50.237;0;53.655;0;80.2;16:23.704;09:06:23.704;1:08.346;0:50.237;0:53.655;138.1;Farran Davis*;0:03:05.103;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FF;68.346;50.237;53.655;37.541;37.541;30.805;1:08.346;21.454;1:29.800;28.783;1:58.583;19.433;2:18.016;34.222;2:52.238;
