NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;
03;1;1;3:15.748;0;;1:40.297;0;47.264;0;48.187;0;70.6;3:15.748;08:53:15.748;1:40.297;0:47.264;0:48.187;156.1;Karl Forman;0:00:51.725;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;100.297;47.264;48.187;
03;1;2;2:18.822;0;;47.888;0;45.956;2;44.978;2;99.5;5:34.570;08:55:34.570;0:47.888;0:45.956;0:44.978;157.2;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;47.888;45.956;44.978;
03;1;3;2:18.319;2;;46.431;0;46.746;0;45.142;0;99.9;7:52.889;08:57:52.889;0:46.431;0:46.746;0:45.142;158.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;46.431;46.746;45.142;
03;1;4;5:27.352;0;B;46.377;2;48.795;0;3:52.180;0;42.2;13:20.241;09:03:20.241;0:46.377;0:48.795;3:52.180;159.1;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;46.377;48.795;232.180;
03;1;5;2:58.938;0;B;56.911;0;46.270;0;1:15.757;0;77.2;16:19.179;09:06:19.179;0:56.911;0:46.270;1:15.757;151.0;Karl Forman;0:03:19.432;Am;;Precision Racing LA;Toyota Gazoo Racing;FF;56.911;46.270;75.757;
11;1;1;3:17.797;0;;1:34.925;0;51.940;0;50.932;0;69.9;3:17.797;08:53:17.797;1:34.925;0:51.940;0:50.932;132.0;Farran Davis*;0:00:41.503;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;94.925;51.940;50.932;
11;1;2;2:29.387;0;;50.788;0;49.905;0;48.694;0;92.5;5:47.184;08:55:47.184;0:50.788;0:49.905;0:48.694;138.1;Farran Davis*;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;50.788;49.905;48.694;
11;1;3;2:24.791;2;;49.695;2;47.950;2;47.146;2;95.4;8:11.975;08:58:11.975;0:49.695;0:47.950;0:47.146;149.2;Farran Davis*;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;49.695;47.950;47.146;
11;1;4;5:19.491;0;B;50.974;0;55.428;0;3:33.089;0;43.2;13:31.466;09:03:31.466;0:50.974;0:55.428;3:33.089;144.0;Farran Davis*;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;50.974;55.428;213.089;
11;1;5;2:52.238;0;;1:08.346;0;50.237;0;53.655;0;80.2;16:23.704;09:06:23.704;1:08.346;0:50.237;0:53.655;138.1;Farran Davis*;0:03:05.103;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;FF;68.346;50.237;53.655;
