NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;5;2:27.523;3;2:29.515;2;;0;;0;;0;;0;;0;;0;;0;;0;2:28.519;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;5;2:20.690;3;2:24.732;2;;0;;0;;0;;0;;0;;0;;0;;0;2:22.711;
17;van der Steur Racing;Toyota GR86;Am;Miles;Hewitt;5;2:15.863;3;2:20.238;2;;0;;0;;0;;0;;0;;0;;0;;0;2:18.050;
93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Patrick;Brunson;2;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;
50;Mashore Autobody;Toyota GR86;Am;Casey;Mashore;5;2:16.732;3;2:18.464;2;;0;;0;;0;;0;;0;;0;;0;;0;2:17.598;
89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Livio;Galanti*;5;2:15.709;3;2:17.163;2;;0;;0;;0;;0;;0;;0;;0;;0;2:16.436;
16;Copeland Motorsports;Toyota GR86;Am;John;Dean*;5;2:16.942;3;2:19.157;2;;0;;0;;0;;0;;0;;0;;0;;0;2:18.049;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;5;2:18.319;3;2:18.822;2;;0;;0;;0;;0;;0;;0;;0;;0;2:18.570;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;5;2:21.108;3;2:29.576;2;;0;;0;;0;;0;;0;;0;;0;;0;2:25.342;
11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Farran;Davis*;5;2:24.791;3;2:29.387;2;;0;;0;;0;;0;;0;;0;;0;;0;2:27.089;
3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Jason;Kos*;5;2:17.611;3;2:18.318;2;;0;;0;;0;;0;;0;;0;;0;;0;2:17.964;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;5;2:16.737;3;2:19.855;2;;0;;0;;0;;0;;0;;0;;0;;0;2:18.296;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;5;2:15.887;3;2:18.700;2;;0;;0;;0;;0;;0;;0;;0;;0;2:17.293;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Zach;Hollingshead;5;2:17.900;3;2:26.034;2;;0;;0;;0;;0;;0;;0;;0;;0;2:21.967;
98;TechSport;Toyota GR86;Am;Max;Schweid;5;2:14.049;3;2:18.579;2;;0;;0;;0;;0;;0;;0;;0;;0;2:16.314;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;5;2:19.554;3;2:22.005;2;;0;;0;;0;;0;;0;;0;;0;;0;2:20.779;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;5;2:17.974;2;2:18.553;3;;0;;0;;0;;0;;0;;0;;0;;0;2:18.263;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;5;2:16.057;3;2:16.941;2;;0;;0;;0;;0;;0;;0;;0;;0;2:16.499;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;6;2:14.075;3;2:16.295;2;;0;;0;;0;;0;;0;;0;;0;;0;2:15.185;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;5;2:13.033;3;2:16.779;2;;0;;0;;0;;0;;0;;0;;0;;0;2:14.906;
71;TechSport;Toyota GR86;Am;Christian;Weir;5;2:15.720;3;2:17.351;2;;0;;0;;0;;0;;0;;0;;0;;0;2:16.535;
14;Skip Barber Racing;Toyota GR86;Am;Alex;Garcia;5;2:23.033;3;2:24.557;2;;0;;0;;0;;0;;0;;0;;0;;0;2:23.795;
73;Precision Racing LA;Toyota GR86;Am;Mike;Lamarra*;5;2:19.655;2;2:39.276;3;;0;;0;;0;;0;;0;;0;;0;;0;2:29.465;
78;Nitro Motorsports;Toyota GR86;Am;Ethan;Ayars;6;2:15.635;3;2:18.906;2;;0;;0;;0;;0;;0;;0;;0;;0;2:17.270;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;5;2:20.395;3;2:22.927;2;;0;;0;;0;;0;;0;;0;;0;;0;2:21.661;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;6;2:16.660;3;2:18.378;2;;0;;0;;0;;0;;0;;0;;0;;0;2:17.519;
67;BSI Racing;Toyota GR86;Am;Shea;Holbrook;3;2:27.410;3;2:34.826;2;;0;;0;;0;;0;;0;;0;;0;;0;2:31.118;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;5;2:20.427;3;2:25.742;2;;0;;0;;0;;0;;0;;0;;0;;0;2:23.084;
47;TechSport;Toyota GR86;Am;Ayden;Kirk;5;2:16.881;3;;0;;0;;0;;0;;0;;0;;0;;0;;0;2:16.881;
12;Copeland Motorsports;Toyota GR86;Am;John;Lennon*;5;2:28.384;3;2:31.731;2;;0;;0;;0;;0;;0;;0;;0;;0;2:30.057;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;5;2:27.230;3;2:33.342;2;;0;;0;;0;;0;;0;;0;;0;;0;2:30.286;
