"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","5","Gresham Wagner","Am","10","27:44.730",1664730,"2:05.513",125513,"93.791","4","","","0","2","32.700","5","","Gresham","Wagner","2:05.614",125614,"2","44.277",44277,"47.026",47026,"34.070",34070,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","15257379","",2,"1 (2 → 1)","1"
"2","2","99","Jaxon Bell","Am","11","27:31.419",1651419,"2:05.859",125859,"93.533","5","0.346","0.346","0","33","35.970","0","","Jaxon","Bell","2:06.811",126811,"3","44.596",44596,"47.184",47184,"34.079",34079,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:5Of1CYdj2ykymsm15Aa46","entries:events-2024-sro-vir:5Of1CYdj2ykymsm15Aa46","13153784","",33,"31 (33 → 2)","31"
"3","3","55","Spike Kohlbecker","Am","11","29:55.332",1795332,"2:06.201",126201,"93.280","5","0.688","0.342","0","24","35.970","0","","Spike","Kohlbecker","2:06.230",126230,"3","44.735",44735,"47.225",47225,"34.175",34175,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:x82vBcn7Sp6iOhoAf_tzM","entries:events-2024-sro-vir:x82vBcn7Sp6iOhoAf_tzM","11385466","",24,"21 (24 → 3)","21"
"4","4","13","Westin Workman","Am","9","23:18.170",1398170,"2:06.277",126277,"93.224","6","0.764","0.076","0","6","29.430","2","","Westin","Workman","2:06.391",126391,"2","44.473",44473,"47.300",47300,"34.247",34247,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:LUtvvmV3MKmWIq7eAvDbt","entries:events-2024-sro-vir:LUtvvmV3MKmWIq7eAvDbt","15241424","",6,"2 (6 → 4)","2"
"5","5","39","Maximilian Hewitt","Am","14","31:55.959",1915959,"2:06.608",126608,"92.980","5","1.095","0.331","0","17","45.780","1","","Maximilian","Hewitt","2:06.877",126877,"2","44.848",44848,"47.394",47394,"34.270",34270,"Maximilian","Hewitt","","219206","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:LMlrcOP76O3wndyuQ_H9a","entries:events-2024-sro-vir:LMlrcOP76O3wndyuQ_H9a","13778007","",17,"12 (17 → 5)","12"
"6","6","57","Mia Lovell","Am","14","31:50.308",1910308,"2:06.630",126630,"92.964","11","1.117","0.022","0","25","45.780","6","","Mia","Lovell","2:06.898",126898,"2","44.958",44958,"47.270",47270,"34.229",34229,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:71LsTsnzeWitMeUk-_t1J","entries:events-2024-sro-vir:71LsTsnzeWitMeUk-_t1J","10314665","",25,"19 (25 → 6)","19"
"7","7","46","Lucas Weisenberg","Am","11","30:54.460",1854460,"2:06.733",126733,"92.888","4","1.220","0.103","0","20","35.970","0","","Lucas","Weisenberg","2:06.899",126899,"4","44.991",44991,"47.440",47440,"34.278",34278,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:ls2QejRvAFMzSge2hlnwL","entries:events-2024-sro-vir:ls2QejRvAFMzSge2hlnwL","12208074","",20,"13 (20 → 7)","13"
"8","8","71","Christian Weir","Am","12","30:02.319",1802319,"2:06.923",126923,"92.749","11","1.410","0.190","0","27","39.240","0","","Christian","Weir","2:07.093",127093,"2","44.897",44897,"47.519",47519,"34.419",34419,"Christian","Weir","","219115","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:wHyaVWYgECC3RvNX5XZtG","entries:events-2024-sro-vir:wHyaVWYgECC3RvNX5XZtG","12055196","",27,"19 (27 → 8)","19"
"9","9","14","Alex Garcia","Am","11","30:15.919",1815919,"2:06.935",126935,"92.740","11","1.422","0.012","0","7","35.970","0","","Alex","Garcia","2:06.963",126963,"3","44.730",44730,"47.573",47573,"34.373",34373,"Alex","Garcia","","219120","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:zC7D5Toaux33Xw684odHP","entries:events-2024-sro-vir:zC7D5Toaux33Xw684odHP","15057570","",7,"-2 (7 → 9)","-2"
"10","10","18","Jordan RickSegrini","Am","7","15:14.825",914825,"2:07.016",127016,"92.681","4","1.503","0.081","0","9","22.890","0","","Jordan","RickSegrini","2:07.037",127037,"1","44.700",44700,"47.677",47677,"34.391",34391,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:xme5hE5JvkYjQQEX275XK","entries:events-2024-sro-vir:xme5hE5JvkYjQQEX275XK","12415550","",9,"-1 (9 → 10)","-1"
