"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","5","Gresham Wagner","Am","14","31:42.607",1902607,"2:06.316",126316,"93.195","6","","","0","2","45.780","0","","Gresham","Wagner","2:06.715",126715,"1","44.594",44594,"47.412",47412,"34.310",34310,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","15257379","",2,"1 (2 → 1)","1"
"2","2","57","Mia Lovell","Am","14","31:53.225",1913225,"2:06.424",126424,"93.115","3","0.108","0.108","0","25","45.780","0","","Mia","Lovell","2:06.695",126695,"1","44.742",44742,"47.436",47436,"34.204",34204,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:71LsTsnzeWitMeUk-_t1J","entries:events-2024-sro-vir:71LsTsnzeWitMeUk-_t1J","10314665","",25,"23 (25 → 2)","23"
"3","3","55","Spike Kohlbecker","Am","7","22:59.133",1379133,"2:06.601",126601,"92.985","4","0.285","0.177","0","24","22.890","0","","Spike","Kohlbecker","2:07.473",127473,"2","44.560",44560,"47.636",47636,"34.269",34269,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:x82vBcn7Sp6iOhoAf_tzM","entries:events-2024-sro-vir:x82vBcn7Sp6iOhoAf_tzM","11385466","",24,"21 (24 → 3)","21"
"4","4","13","Westin Workman","Am","6","14:38.799",878799,"2:06.826",126826,"92.820","3","0.510","0.225","0","6","19.620","0","","Westin","Workman","2:07.089",127089,"1","44.831",44831,"47.589",47589,"34.319",34319,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:LUtvvmV3MKmWIq7eAvDbt","entries:events-2024-sro-vir:LUtvvmV3MKmWIq7eAvDbt","15241424","",6,"2 (6 → 4)","2"
"5","5","99","Jaxon Bell","Am","13","29:30.639",1770639,"2:06.872",126872,"92.786","3","0.556","0.046","0","33","42.510","0","","Jaxon","Bell","2:06.918",126918,"1","44.809",44809,"47.623",47623,"34.306",34306,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:5Of1CYdj2ykymsm15Aa46","entries:events-2024-sro-vir:5Of1CYdj2ykymsm15Aa46","13153784","",33,"28 (33 → 5)","28"
"6","6","46","Lucas Weisenberg","Am","13","31:26.660",1886660,"2:06.875",126875,"92.784","3","0.559","0.003","0","20","42.510","5","","Lucas","Weisenberg","2:07.026",127026,"3","44.734",44734,"47.650",47650,"34.384",34384,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:ls2QejRvAFMzSge2hlnwL","entries:events-2024-sro-vir:ls2QejRvAFMzSge2hlnwL","12208074","",20,"14 (20 → 6)","14"
"7","7","21","Ford Koch","Am","14","31:33.417",1893417,"2:07.190",127190,"92.554","6","0.874","0.315","0","10","45.780","2","","Ford","Koch","2:07.735",127735,"2","44.954",44954,"47.731",47731,"34.502",34502,"Ford","Koch","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:AOE8Qn_0USzVEp5Qcw7YB","entries:events-2024-sro-vir:AOE8Qn_0USzVEp5Qcw7YB","10837109","",10,"3 (10 → 7)","3"
"8","8","47","Ethan Goulart","Am","14","31:32.547",1892547,"2:07.244",127244,"92.515","5","0.928","0.054","0","21","45.780","0","","Ethan","Goulart","2:07.249",127249,"1","45.040",45040,"47.573",47573,"34.323",34323,"Ethan","Goulart","","219186","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:ashfGXJ2Ko3xInSvUWgSo","entries:events-2024-sro-vir:ashfGXJ2Ko3xInSvUWgSo","11286329","",21,"13 (21 → 8)","13"
"9","9","80","Tyler Wettengel","Am","11","26:35.298",1595298,"2:07.277",127277,"92.491","7","0.961","0.033","0","31","35.970","1","","Tyler","Wettengel","2:07.409",127409,"2","44.938",44938,"47.882",47882,"34.433",34433,"Tyler","Wettengel","","219101","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:Jz5XVNK2rmv9nB0mg2RSQ","entries:events-2024-sro-vir:Jz5XVNK2rmv9nB0mg2RSQ","15012542","",31,"22 (31 → 9)","22"
"10","10","71","Christian Weir","Am","14","31:38.852",1898852,"2:07.367",127367,"92.426","5","1.051","0.090","0","27","45.780","0","","Christian","Weir","2:07.412",127412,"1","44.878",44878,"47.821",47821,"34.449",34449,"Christian","Weir","","219115","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:wHyaVWYgECC3RvNX5XZtG","entries:events-2024-sro-vir:wHyaVWYgECC3RvNX5XZtG","12055196","",27,"17 (27 → 10)","17"
