"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","2:10.282","2:10.364","2:11.363","2:11.461","2:11.581","2:11.801","2:11.879","2:11.900","2:12.368","2:12.733","02:11.573"
"GR Cup","Am","5","2:06.316","2:06.715","2:06.728","2:06.927","2:06.930","2:06.975","2:06.979","2:07.057","2:07.205","2:08.239","02:07.007"
"GR Cup","Am","09","2:08.425","2:08.490","2:08.543","2:08.582","2:08.715","2:08.738","2:09.082","2:09.246","2:09.916","2:10.052","02:08.979"
"GR Cup","Am","10","2:10.025","2:10.184","2:10.189","2:10.322","2:10.374","2:10.410","2:10.992","2:11.836","2:12.624","2:21.983","02:11.894"
"GR Cup","Am","11","2:12.005","2:12.138","2:12.173","2:12.384","2:12.392","2:12.633","2:12.667","2:12.690","2:12.724","2:12.815","02:12.462"
"GR Cup","Am","13","2:06.826","2:07.089","2:07.161","2:07.361","2:08.247","2:14.769","","","","","02:08.576"
"GR Cup","Am","14","2:07.518","2:07.942","2:08.068","2:08.324","2:11.218","2:12.929","2:13.180","2:17.305","5:06.572","","02:30.340"
"GR Cup","Am","15","2:08.371","2:08.567","2:08.587","2:08.904","2:08.990","2:09.169","2:09.205","2:11.276","2:17.913","","02:10.109"
"GR Cup","Am","21","2:07.190","2:07.735","2:08.195","2:08.263","2:08.417","2:08.558","2:08.558","2:08.590","2:09.521","2:11.428","02:08.646"
"GR Cup","Am","22","2:07.425","2:07.824","2:08.018","2:09.680","2:10.561","2:11.376","2:12.144","2:14.095","2:14.973","2:23.169","02:11.927"
"GR Cup","Am","24","2:08.590","2:08.710","2:08.828","2:08.871","2:08.938","2:09.220","2:09.673","2:09.838","2:09.973","2:14.654","02:09.730"
"GR Cup","Am","25","2:09.801","2:10.262","2:10.643","2:10.656","2:10.716","2:10.914","2:11.294","2:11.878","2:13.952","2:17.254","02:11.737"
"GR Cup","Am","30","2:10.720","2:10.960","2:11.437","2:11.506","2:11.580","2:11.890","2:12.449","2:13.214","2:13.218","2:13.686","02:12.066"
"GR Cup","Am","31","2:08.212","2:08.690","2:08.754","2:08.865","2:08.890","2:08.940","2:09.256","2:09.554","2:10.939","2:18.287","02:10.039"
"GR Cup","Am","34","2:08.158","2:08.241","2:08.470","2:08.672","2:08.824","2:08.973","2:09.014","2:09.153","2:09.207","2:15.180","02:09.389"
"GR Cup","Am","39","2:07.609","2:08.228","2:08.729","2:11.847","2:12.768","2:13.563","2:15.013","3:17.485","","","02:19.405"
"GR Cup","Am","41","2:08.918","2:09.200","2:09.451","2:09.725","2:17.030","2:17.943","","","","","02:12.045"
"GR Cup","Am","44","2:07.976","2:07.989","2:08.093","2:08.458","2:08.483","2:08.614","2:08.798","2:09.557","2:10.070","2:11.638","02:08.968"
"GR Cup","Am","46","2:06.875","2:07.026","2:07.040","2:07.115","2:07.410","2:07.473","2:07.621","2:07.783","2:12.310","2:14.368","02:08.502"
"GR Cup","Am","47","2:07.244","2:07.249","2:07.369","2:07.408","2:07.424","2:07.438","2:07.774","2:07.782","2:08.036","2:10.310","02:07.803"
"GR Cup","Am","50","2:08.100","2:08.473","2:08.492","2:08.774","2:08.779","2:08.924","2:08.948","2:09.053","2:09.594","2:09.614","02:08.875"
"GR Cup","Am","51","2:08.466","2:08.517","2:09.085","2:09.110","2:09.331","2:09.404","2:09.667","2:11.362","2:13.299","2:15.206","02:10.345"
"GR Cup","Am","55","2:06.601","2:07.473","2:11.206","2:23.521","2:30.232","4:26.641","6:48.076","","","","03:13.393"
"GR Cup","Am","57","2:06.424","2:06.695","2:07.026","2:07.227","2:07.371","2:07.455","2:07.569","2:07.866","2:08.069","2:08.297","02:07.400"
"GR Cup","Am","61","2:10.595","2:11.307","2:11.493","2:11.696","2:11.878","2:12.124","2:12.778","2:14.365","2:15.572","2:15.652","02:12.746"
"GR Cup","Am","71","2:07.367","2:07.412","2:07.572","2:07.861","2:08.063","2:08.212","2:08.528","2:08.732","2:09.569","2:10.589","02:08.391"
"GR Cup","Am","75","2:09.031","2:09.085","2:09.099","2:09.272","2:09.317","2:09.328","2:09.388","2:09.671","2:13.329","2:16.775","02:10.430"
"GR Cup","Am","76","2:08.426","2:08.646","2:08.674","2:08.779","2:08.875","2:09.009","2:09.031","2:09.031","2:09.145","2:09.216","02:08.883"
"GR Cup","Am","77","2:08.621","2:09.250","2:09.665","2:10.956","2:11.038","2:13.022","2:14.364","2:14.781","2:15.410","2:51.273","02:15.838"
"GR Cup","Am","80","2:07.277","2:07.409","2:07.680","2:07.693","2:07.782","2:08.308","2:08.346","2:10.273","2:13.030","2:15.587","02:09.339"
"GR Cup","Am","88","2:07.838","2:08.033","2:08.423","2:08.494","2:08.655","2:08.732","2:09.014","2:09.285","2:09.292","2:09.650","02:08.742"
"GR Cup","Am","99","2:06.872","2:06.918","2:07.019","2:07.070","2:07.103","2:07.125","2:07.210","2:07.372","2:07.479","2:07.485","02:07.165"
