"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","99","Jaxon Bell","Am","5","10:55.894",655894,"2:06.759",126759,"92.869","5","","","0","33","16.350","0","","Jaxon","Bell","2:07.790",127790,"1","44.670",44670,"49.171",49171,"34.343",34343,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:5Of1CYdj2ykymsm15Aa46","entries:events-2024-sro-vir:5Of1CYdj2ykymsm15Aa46","13153784","",33,"32 (33 → 1)","32"
"2","2","55","Spike Kohlbecker","Am","6","13:38.856",818856,"2:06.882",126882,"92.779","5","0.123","0.123","0","24","19.620","0","","Spike","Kohlbecker","2:07.623",127623,"1","44.774",44774,"48.295",48295,"34.195",34195,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:x82vBcn7Sp6iOhoAf_tzM","entries:events-2024-sro-vir:x82vBcn7Sp6iOhoAf_tzM","11385466","",24,"22 (24 → 2)","22"
"3","3","47","Ethan Goulart","Am","6","13:39.097",819097,"2:06.926",126926,"92.747","5","0.167","0.044","0","21","19.620","0","","Ethan","Goulart","2:07.621",127621,"1","44.814",44814,"48.340",48340,"34.159",34159,"Ethan","Goulart","","219186","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:ashfGXJ2Ko3xInSvUWgSo","entries:events-2024-sro-vir:ashfGXJ2Ko3xInSvUWgSo","11286329","",21,"18 (21 → 3)","18"
"4","4","5","Gresham Wagner","Am","6","13:00.727",780727,"2:06.968",126968,"92.716","5","0.209","0.042","0","2","19.620","6","","Gresham","Wagner","2:07.524",127524,"1","44.484",44484,"48.583",48583,"34.280",34280,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","15257379","",2,"-2 (2 → 4)","-2"
"5","5","71","Christian Weir","Am","5","11:17.222",677222,"2:07.070",127070,"92.642","5","0.311","0.102","0","27","16.350","0","","Christian","Weir","2:07.672",127672,"1","45.024",45024,"47.616",47616,"34.430",34430,"Christian","Weir","","219115","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:wHyaVWYgECC3RvNX5XZtG","entries:events-2024-sro-vir:wHyaVWYgECC3RvNX5XZtG","12055196","",27,"22 (27 → 5)","22"
"6","6","57","Mia Lovell","Am","6","13:05.830",785830,"2:07.254",127254,"92.508","5","0.495","0.184","0","25","19.620","0","","Mia","Lovell","2:07.935",127935,"1","44.906",44906,"48.730",48730,"34.478",34478,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:71LsTsnzeWitMeUk-_t1J","entries:events-2024-sro-vir:71LsTsnzeWitMeUk-_t1J","10314665","",25,"19 (25 → 6)","19"
"7","7","80","Tyler Wettengel","Am","6","13:22.609",802609,"2:07.440",127440,"92.373","4","0.681","0.186","0","31","19.620","0","","Tyler","Wettengel","2:08.169",128169,"1","45.076",45076,"48.550",48550,"34.518",34518,"Tyler","Wettengel","","219101","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:Jz5XVNK2rmv9nB0mg2RSQ","entries:events-2024-sro-vir:Jz5XVNK2rmv9nB0mg2RSQ","15012542","",31,"24 (31 → 7)","24"
"8","8","13","Westin Workman","Am","5","10:55.319",655319,"2:07.496",127496,"92.332","5","0.737","0.056","0","6","16.350","0","","Westin","Workman","2:07.959",127959,"1","44.809",44809,"49.164",49164,"34.371",34371,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:LUtvvmV3MKmWIq7eAvDbt","entries:events-2024-sro-vir:LUtvvmV3MKmWIq7eAvDbt","15241424","",6,"-2 (6 → 8)","-2"
"9","9","18","Jordan RickSegrini","Am","6","13:15.640",795640,"2:07.654",127654,"92.218","5","0.895","0.158","0","9","19.620","0","","Jordan","RickSegrini","2:08.252",128252,"1","45.002",45002,"48.216",48216,"34.436",34436,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:xme5hE5JvkYjQQEX275XK","entries:events-2024-sro-vir:xme5hE5JvkYjQQEX275XK","12415550","",9,"0 (9 → 9)","0"
"10","10","21","Ford Koch","Am","6","13:29.713",809713,"2:07.697",127697,"92.187","4","0.938","0.043","0","10","19.620","0","","Ford","Koch","2:10.745",130745,"1","45.018",45018,"49.932",49932,"35.032",35032,"Ford","Koch","","219073","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:AOE8Qn_0USzVEp5Qcw7YB","entries:events-2024-sro-vir:AOE8Qn_0USzVEp5Qcw7YB","10837109","",10,"0 (10 → 10)","0"
