"#","Name","Laps","Lead Lap","Lap Time","Lap Time (ms)","Elapsed Time","Elapsed Time (ms)","Passing Tm","Class","Flag","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","entry","drivers","S1","S1 (ms)","S2","S2 (ms)","S3","S3 (ms)","S1a","S1a (ms)","S1b","S1b (ms)","S2a","S2a (ms)","S2b","S2b (ms)","S3a","S3a (ms)","S3b","S3b (ms)"
"3","Jason Kos","1","1","2:33.516",153516,"3:19.312",199312,"8:13:19.382","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":""USA"",""series"":""GR Cup""},""updatedAt"":""2024-07-21T03:00:48.565Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","00:55.989",55989,"1:00.349",60349,"37.178",37178,"00:33.724",33724,"00:22.265",22265,"00:25.453",25453,"00:34.896",34896,"00:15.433",15433,"00:21.745",21745
"3","Jason Kos","2","2","2:11.515",131515,"5:30.827",330827,"8:15:30.897","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":""USA"",""series"":""GR Cup""},""updatedAt"":""2024-07-21T03:00:48.565Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.728",46728,"49.236",49236,"35.551",35551,"00:26.439",26439,"00:20.289",20289,"00:19.395",19395,"00:29.841",29841,"00:14.196",14196,"00:21.355",21355
"3","Jason Kos","3","3","2:10.887",130887,"7:41.714",461714,"8:17:41.784","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":""USA"",""series"":""GR Cup""},""updatedAt"":""2024-07-21T03:00:48.565Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.116",46116,"49.156",49156,"35.615",35615,"00:25.937",25937,"00:20.179",20179,"00:19.322",19322,"00:29.834",29834,"00:14.307",14307,"00:21.308",21308
"3","Jason Kos","4","4","2:10.695",130695,"9:52.409",592409,"8:19:52.479","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":""USA"",""series"":""GR Cup""},""updatedAt"":""2024-07-21T03:00:48.565Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.211",46211,"49.218",49218,"35.266",35266,"00:25.934",25934,"00:20.277",20277,"00:19.324",19324,"00:29.894",29894,"00:14.156",14156,"00:21.110",21110
"3","Jason Kos","5","5","2:10.709",130709,"12:03.118",723118,"8:22:03.188","Am","Green Flag","Jason","Kos","","219094","GR Cup","Toyota GR86","Eagles Canyon Racing powered by Fast Track","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP","11191062","","{""fields"":{""driver1firstName"":""Jason"",""transponderNumber"":""11191062"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""3"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Worldwide Express"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219094"",""team"":""Eagles Canyon Racing powered by Fast Track"",""driver1lastName"":""Kos"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":""USA"",""series"":""GR Cup""},""updatedAt"":""2024-07-21T03:00:48.565Z"",""id"":""entries:events-2024-sro-vir:FoXdZKKHZzjxJe4RFoEjP"",""createdAt"":""2024-07-17T19:28:58.156Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Jason"",""driverLastName"":""Kos"",""driverName"":""Jason Kos"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","46.046",46046,"49.056",49056,"35.607",35607,"00:25.813",25813,"00:20.233",20233,"00:19.297",19297,"00:29.759",29759,"00:14.150",14150,"00:21.457",21457
"5","Gresham Wagner","1","1","2:17.231",137231,"2:24.422",144422,"8:12:24.492","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":""USA"",""series"":""GR Cup""},""updatedAt"":""2024-07-21T03:00:48.734Z"",""id"":""entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR"",""createdAt"":""2024-07-17T19:28:58.400Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","00:52.402",52402,"49.140",49140,"35.689",35689,"00:31.653",31653,"00:20.749",20749,"00:19.411",19411,"00:29.729",29729,"00:14.650",14650,"00:21.039",21039
"5","Gresham Wagner","2","2","2:06.397",126397,"4:30.819",270819,"8:14:30.889","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":""USA"",""series"":""GR Cup""},""updatedAt"":""2024-07-21T03:00:48.734Z"",""id"":""entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR"",""createdAt"":""2024-07-17T19:28:58.400Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.742",44742,"47.190",47190,"34.465",34465,"00:25.267",25267,"00:19.475",19475,"00:18.394",18394,"00:28.796",28796,"00:13.735",13735,"00:20.730",20730
"5","Gresham Wagner","3","3","2:05.811",125811,"6:36.630",396630,"8:16:36.700","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":""USA"",""series"":""GR Cup""},""updatedAt"":""2024-07-21T03:00:48.734Z"",""id"":""entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR"",""createdAt"":""2024-07-17T19:28:58.400Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.373",44373,"47.238",47238,"34.200",34200,"00:25.097",25097,"00:19.276",19276,"00:18.388",18388,"00:28.850",28850,"00:13.412",13412,"00:20.788",20788
"5","Gresham Wagner","4","4","2:05.672",125672,"8:42.302",522302,"8:18:42.372","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":""USA"",""series"":""GR Cup""},""updatedAt"":""2024-07-21T03:00:48.734Z"",""id"":""entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR"",""createdAt"":""2024-07-17T19:28:58.400Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.324",44324,"47.288",47288,"34.060",34060,"00:24.979",24979,"00:19.345",19345,"00:18.406",18406,"00:28.882",28882,"00:13.405",13405,"00:20.655",20655
"5","Gresham Wagner","5","5","2:05.390",125390,"10:47.692",647692,"8:20:47.762","Am","Green Flag","Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","15257379","","{""fields"":{""driver1firstName"":""Gresham"",""transponderNumber"":""15257379"",""isTeam"":"""",""manufacturer"":""Toyota Gazoo Racing"",""number"":""5"",""driver2driverId"":"""",""driver1driverId"":"""",""car"":""Toyota GR86"",""driver2drivesFirst"":"""",""sponsors"":""Copeland Motorsports"",""driver2licenseNationality"":"""",""driver1tla"":"""",""class"":""Am"",""driver2nationality"":"""",""driver2category"":"""",""driver1category"":"""",""driver1nationality"":""USA"",""driver1drivesFirst"":true,""racelinkNumber"":""219203"",""team"":""Copeland Motorsports"",""driver1lastName"":""Wagner"",""driver2firstName"":"""",""driver2lastName"":"""",""driver1licenseNationality"":""USA"",""series"":""GR Cup""},""updatedAt"":""2024-07-21T03:00:48.734Z"",""id"":""entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR"",""createdAt"":""2024-07-17T19:28:58.400Z"",""eventId"":""events:2024-sro-vir""}","{"""":{""driverFirstName"":""Gresham"",""driverLastName"":""Wagner"",""driverName"":""Gresham Wagner"",""driverLicenseNationality"":""USA"",""driverSroLicenseCategory"":"""",""driverNationality"":""USA"",""driverId"":""""}}","44.316",44316,"47.154",47154,"33.920",33920,"00:24.962",24962,"00:19.354",19354,"00:18.349",18349,"00:28.805",28805,"00:13.377",13377,"00:20.543",20543
