"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","2:10.695","2:10.709","2:10.887","2:11.515","2:33.516","","","","","","02:15.464"
"GR Cup","Am","5","2:05.390","2:05.672","2:05.811","2:06.397","2:17.231","","","","","","02:08.100"
"GR Cup","Am","09","2:08.183","2:08.248","2:08.287","2:08.656","2:19.319","","","","","","02:10.539"
"GR Cup","Am","10","2:07.799","2:07.845","2:08.312","2:09.005","2:22.607","","","","","","02:11.114"
"GR Cup","Am","13","2:06.142","2:06.244","2:07.563","2:09.630","2:16.664","","","","","","02:09.249"
"GR Cup","Am","15","2:08.443","2:08.777","2:09.243","2:09.675","2:25.957","","","","","","02:12.419"
"GR Cup","Am","18","2:06.484","2:06.860","2:07.117","2:07.586","2:15.778","","","","","","02:08.765"
"GR Cup","Am","21","2:07.581","2:08.180","2:08.699","2:12.595","2:24.108","","","","","","02:12.233"
"GR Cup","Am","22","2:07.255","2:07.478","2:07.656","2:08.100","2:28.203","","","","","","02:11.738"
"GR Cup","Am","24","2:07.508","2:08.435","2:12.591","2:15.677","2:17.356","","","","","","02:12.313"
"GR Cup","Am","25","2:08.169","2:08.256","2:08.299","2:08.659","2:27.125","","","","","","02:12.102"
"GR Cup","Am","30","2:08.362","2:08.427","2:09.589","2:13.660","2:30.125","","","","","","02:14.033"
"GR Cup","Am","31","2:07.062","2:07.241","2:07.883","2:08.368","2:32.666","","","","","","02:12.644"
"GR Cup","Am","34","2:07.048","2:07.278","2:07.852","2:10.175","2:30.541","","","","","","02:12.579"
"GR Cup","Am","39","2:06.233","2:06.671","2:06.786","2:07.087","2:15.597","","","","","","02:08.475"
"GR Cup","Am","41","2:07.103","2:07.331","2:07.738","2:09.093","2:27.172","","","","","","02:11.687"
"GR Cup","Am","44","2:07.596","2:09.399","2:10.043","2:21.549","2:27.983","","","","","","02:15.314"
"GR Cup","Am","46","2:06.254","2:06.493","2:06.713","2:16.004","","","","","","","02:08.866"
"GR Cup","Am","47","2:06.227","2:06.363","2:07.977","2:08.858","2:28.584","","","","","","02:11.602"
"GR Cup","Am","50","2:07.963","2:08.870","2:11.883","2:12.440","2:25.159","","","","","","02:13.263"
"GR Cup","Am","51","2:06.574","2:06.756","2:07.369","2:07.568","2:17.645","","","","","","02:09.182"
"GR Cup","Am","55","2:06.071","2:06.197","2:07.996","2:08.989","2:27.204","","","","","","02:11.291"
"GR Cup","Am","57","2:06.599","2:06.944","2:07.293","2:08.198","2:16.882","","","","","","02:09.183"
"GR Cup","Am","61","2:10.579","2:11.329","2:11.744","2:15.549","2:31.721","","","","","","02:16.184"
"GR Cup","Am","71","2:06.604","2:06.983","2:07.729","2:07.851","2:27.359","","","","","","02:11.305"
"GR Cup","Am","75","2:07.371","2:08.210","2:09.404","2:10.761","2:26.698","","","","","","02:12.489"
"GR Cup","Am","76","2:06.798","2:06.821","2:07.179","2:08.087","2:15.333","","","","","","02:08.844"
"GR Cup","Am","77","2:07.808","2:08.431","2:08.696","2:09.227","2:29.236","","","","","","02:12.680"
"GR Cup","Am","80","2:06.847","2:06.980","2:07.425","2:12.909","2:22.098","","","","","","02:11.252"
"GR Cup","Am","88","2:07.008","2:07.881","2:08.848","2:23.311","2:28.769","","","","","","02:15.163"
"GR Cup","Am","99","2:07.019","2:07.496","2:08.077","2:13.145","2:16.412","","","","","","02:10.430"
