Pos;No.;Class;PIC;Driver1;Nat;CarName;TeamName;Laps;Time;Gap;Diff;KPH;BestLap;ON
1;5;Am;1;Gresham Wagner;USA;Toyota GR86;Copeland Motorsports;5;10:47.692;;;151.09;2:05.390;5
2;55;Am;2;Spike Kohlbecker;USA;Toyota GR86;TechSport Racing;5;11:21.346;0.681;0.681;150.27;2:06.071;3
3;13;Am;3;Westin Workman;USA;Toyota GR86;Copeland Motorsports;5;10:51.491;0.071;0.752;150.19;2:06.142;4
4;47;Am;4;Ethan Goulart;USA;Toyota GR86;TechSport Racing;5;11:21.727;0.085;0.837;150.09;2:06.227;5
5;39;Am;5;Maximilian Hewitt;USA;Toyota GR86;BSI Racing;5;10:51.953;0.006;0.843;150.08;2:06.233;3
6;18;Am;6;Jordan RickSegrini;USA;Toyota GR86;BSI Racing;5;10:55.168;0.251;1.094;149.78;2:06.484;5
7;51;Am;7;Zachary Hollingshead;USA;Toyota GR86;Copeland Motorsports;5;10:54.079;0.090;1.184;149.68;2:06.574;4
8;57;Am;8;Mia Lovell;USA;Toyota GR86;Copeland Motorsports;5;10:52.424;0.025;1.209;149.65;2:06.599;5
9;71;Am;9;Christian Weir;USA;Toyota GR86;TechSport Racing;5;11:22.392;0.005;1.214;149.64;2:06.604;5
10;76;Am;10;Steven Clemons;USA;Toyota GR86;BSI Racing;5;10:54.891;0.194;1.408;149.41;2:06.798;5
11;80;Am;11;Tyler Wettengel;USA;Toyota GR86;Nitro Motorsports;5;11:13.628;0.049;1.457;149.35;2:06.847;3
12;88;Am;12;Henry Drury;GBR;Toyota GR86;Precision Racing LA w/ PT Autosport;5;11:57.867;0.161;1.618;149.16;2:07.008;5
13;99;Am;13;Jaxon Bell;USA;Toyota GR86;Copeland Motorsports;5;10:57.848;0.011;1.629;149.15;2:07.019;3
14;34;Am;14;Braydon Arthur;CAN;Toyota GR86;JMF Motorsports;5;12:10.776;0.029;1.658;149.12;2:07.048;3
15;31;Am;15;Luke Rumburg;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;5;11:23.371;0.014;1.672;149.1;2:07.062;3
16;41;Am;16;Jenson Sofronas;USA;Toyota GR86;GMG Racing;5;11:19.170;0.041;1.713;149.05;2:07.103;5
17;22;Am;17;Devin Anderson;USA;Toyota GR86;TechSport Racing;5;11:24.141;0.152;1.865;148.88;2:07.255;5
18;75;Am;18;Anna Inotsume;JAP;Toyota GR86;Hattori Motorsports;5;11:21.156;0.116;1.981;148.74;2:07.371;4
19;24;Am;19;Jade Avedisian;USA;Toyota GR86;Nitro Motorsports;5;11:15.171;0.137;2.118;148.58;2:07.508;5
20;21;Am;20;Ford Koch;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;5;11:14.288;0.073;2.191;148.5;2:07.581;3
21;44;Am;21;Alex Sedgwick;GBR;Toyota GR86;Precision Racing LA;5;11:59.092;0.015;2.206;148.48;2:07.596;3
22;10;Am;22;Ethan Tovo;USA;Toyota GR86;Nitro Motorsports;5;11:29.369;0.203;2.409;148.24;2:07.799;3
23;77;Am;23;William Lambros;USA;Toyota GR86;Skip Barber Racing;5;12:08.663;0.009;2.418;148.23;2:07.808;4
24;50;Am;24;Casey Mashore;USA;Toyota GR86;Mashore Autobody;5;11:25.722;0.155;2.573;148.05;2:07.963;4
25;25;Am;25;Alfonso Diaz;PRI;Toyota GR86;TechSport Racing;5;11:27.571;0.206;2.779;147.81;2:08.169;4
26;09;Am;26;Maddie Aust;USA;Toyota GR86;BSI Racing;5;11:04.865;0.014;2.793;147.8;2:08.183;3
27;30;Am;27;Jackson Tovo;USA;Toyota GR86;Nitro Motorsports;5;11:28.184;0.179;2.972;147.59;2:08.362;5
28;15;Am;28;Bennett Muldoon;USA;Toyota GR86;Bennett Motorsports;5;11:50.149;0.081;3.053;147.5;2:08.443;5
29;61;Am;29;James Klimas;USA;Toyota GR86;Skip Barber Racing;5;12:27.281;2.136;5.189;145.09;2:10.579;5
30;3;Am;30;Jason Kos;USA;Toyota GR86;Eagles Canyon Racing powered by Fast Track;5;12:03.118;0.116;5.305;144.96;2:10.695;4
31;46;Am;31;Lucas Weisenberg;USA;Toyota GR86;Lucas Racing;4;8:44.211;;;;;0
32;11;Am;32;Farran Davis;USA;Toyota GR86;RVA Graphics Motorsports by Speed Syndicate;;;;;;;0
33;14;Am;33;Alex Garcia;USA;Toyota GR86;Skip Barber Racing;;;;;;;0
