"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","55","Spike Kohlbecker","Am","19","46:15.136",2775136,"2:12.971",132971,"88.531","17","","","25","2","62.130","15","2:06.882","Spike","Kohlbecker","2:13.385",133385,"","47.439",47439,"49.231",49231,"36.179",36179,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:x82vBcn7Sp6iOhoAf_tzM","entries:events-2024-sro-vir:x82vBcn7Sp6iOhoAf_tzM","11385466","",2,"1 (2 → 1)","1"
"2","2","5","Gresham Wagner","Am","19","46:15.305",2775305,"2:13.105",133105,"88.441","17","0.169","0.169","18","4","62.130","0","2:06.968","Gresham","Wagner","2:13.110",133110,"","47.489",47489,"49.145",49145,"36.225",36225,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","15257379","",4,"2 (4 → 2)","2"
"3","3","99","Jaxon Bell","Am","19","46:15.751",2775751,"2:13.217",133217,"88.367","17","0.615","0.446","15","1","62.130","4","2:06.759","Jaxon","Bell","2:13.385",133385,"","47.490",47490,"49.051",49051,"36.215",36215,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:5Of1CYdj2ykymsm15Aa46","entries:events-2024-sro-vir:5Of1CYdj2ykymsm15Aa46","13153784","",1,"-2 (1 → 3)","-2"
"4","4","13","Westin Workman","Am","19","46:16.816",2776816,"2:13.352",133352,"88.278","17","1.680","1.065","12","8","62.130","0","2:07.496","Westin","Workman","2:13.606",133606,"","47.644",47644,"49.205",49205,"36.233",36233,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:LUtvvmV3MKmWIq7eAvDbt","entries:events-2024-sro-vir:LUtvvmV3MKmWIq7eAvDbt","15241424","",8,"4 (8 → 4)","4"
"5","5","44","Alex Sedgwick","Am","19","46:17.695",2777695,"2:13.147",133147,"88.414","19","2.559","0.879","10","12","62.130","0","2:07.856","Alex","Sedgwick","2:13.943",133943,"","47.552",47552,"49.123",49123,"36.472",36472,"Alex","Sedgwick","","219270","GR Cup","Toyota GR86","Precision Racing LA","Toyota Gazoo Racing GR","GBR","","entries:events-2024-sro-vir:AT5-T1KNCeGKeB0OyO6SP","entries:events-2024-sro-vir:AT5-T1KNCeGKeB0OyO6SP","14864382","",12,"7 (12 → 5)","7"
"6","6","76","Steven Clemons","Am","19","46:20.865",2780865,"2:13.713",133713,"88.039","17","5.729","3.170","8","20","62.130","0","2:08.516","Steven","Clemons","2:14.631",134631,"","47.679",47679,"49.479",49479,"36.432",36432,"Steven","Clemons","","219225","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:315DNcoJB7QURVGXA2Ivc","entries:events-2024-sro-vir:315DNcoJB7QURVGXA2Ivc","13032211","",20,"14 (20 → 6)","14"
"7","7","46","Lucas Weisenberg","Am","19","46:20.962",2780962,"2:13.951",133951,"87.883","17","5.826","0.097","6","14","62.130","0","2:08.030","Lucas","Weisenberg","2:14.657",134657,"","47.874",47874,"49.411",49411,"36.535",36535,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:ls2QejRvAFMzSge2hlnwL","entries:events-2024-sro-vir:ls2QejRvAFMzSge2hlnwL","12208074","",14,"7 (14 → 7)","7"
"8","8","80","Tyler Wettengel","Am","19","46:24.324",2784324,"2:14.860",134860,"87.291","17","9.188","3.362","4","7","62.130","0","2:07.440","Tyler","Wettengel","2:15.500",135500,"","48.099",48099,"49.990",49990,"36.771",36771,"Tyler","Wettengel","","219101","GR Cup","Toyota GR86","Nitro Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:Jz5XVNK2rmv9nB0mg2RSQ","entries:events-2024-sro-vir:Jz5XVNK2rmv9nB0mg2RSQ","15012542","",7,"-1 (7 → 8)","-1"
"9","9","39","Maximilian Hewitt","Am","19","46:25.182",2785182,"2:14.886",134886,"87.274","19","10.046","0.858","2","17","62.130","0","2:08.168","Maximilian","Hewitt","2:15.657",135657,"","47.966",47966,"49.758",49758,"36.496",36496,"Maximilian","Hewitt","","219206","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:LMlrcOP76O3wndyuQ_H9a","entries:events-2024-sro-vir:LMlrcOP76O3wndyuQ_H9a","13778007","",17,"8 (17 → 9)","8"
"10","10","71","Christian Weir","Am","19","46:26.597",2786597,"2:15.645",135645,"86.785","19","11.461","1.415","1","5","62.130","0","2:07.070","Christian","Weir","2:16.002",136002,"","48.231",48231,"50.195",50195,"37.023",37023,"Christian","Weir","","219115","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:wHyaVWYgECC3RvNX5XZtG","entries:events-2024-sro-vir:wHyaVWYgECC3RvNX5XZtG","12055196","",5,"-5 (5 → 10)","-5"
"11","11","57","Mia Lovell","Am","19","46:26.756",2786756,"2:15.646",135646,"86.785","18","11.620","0.159","0","6","62.130","0","2:07.254","Mia","Lovell","2:15.717",135717,"","48.359",48359,"50.041",50041,"36.451",36451,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:71LsTsnzeWitMeUk-_t1J","entries:events-2024-sro-vir:71LsTsnzeWitMeUk-_t1J","10314665","",6,"-5 (6 → 11)","-5"
"12","12","18","Jordan RickSegrini","Am","19","46:29.253",2789253,"2:15.248",135248,"87.040","18","14.117","2.497","0","9","62.130","0","2:07.654","Jordan","RickSegrini","2:16.015",136015,"","48.145",48145,"50.101",50101,"36.987",36987,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:xme5hE5JvkYjQQEX275XK","entries:events-2024-sro-vir:xme5hE5JvkYjQQEX275XK","12415550","",9,"-3 (9 → 12)","-3"
"13","13","34","Braydon Arthur","Am","19","46:30.265",2790265,"2:15.066",135066,"87.157","18","15.129","1.012","0","23","62.130","0","2:08.880","Braydon","Arthur","2:16.280",136280,"","48.049",48049,"50.277",50277,"36.478",36478,"Braydon","Arthur","","219195","GR Cup","Toyota GR86","JMF Motorsports","Toyota Gazoo Racing GR","CAN","","entries:events-2024-sro-vir:fFjK6qSTr5BgKGjfXAiF1","entries:events-2024-sro-vir:fFjK6qSTr5BgKGjfXAiF1","15222059","",23,"10 (23 → 13)","10"
"14","14","77","William Lambros","Am","19","46:30.903",2790903,"2:15.116",135116,"87.125","18","15.767","0.638","0","25","62.130","0","2:09.095","William","Lambros","2:15.177",135177,"","47.885",47885,"49.727",49727,"36.689",36689,"William","Lambros","","219145","GR Cup","Toyota GR86","Skip Barber Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:mpdUvkRNVQNjtCtmyuYpP","entries:events-2024-sro-vir:mpdUvkRNVQNjtCtmyuYpP","15422081","",25,"11 (25 → 14)","11"
"15","15","15","Bennett Muldoon","Am","19","46:30.935",2790935,"2:15.854",135854,"86.652","19","15.799","0.032","0","28","62.130","0","2:09.256","Bennett","Muldoon","2:16.299",136299,"","48.274",48274,"50.213",50213,"37.214",37214,"Bennett","Muldoon","","219284","GR Cup","Toyota GR86","Bennett Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:kIUQ-BM-ckhRkHSWbxPZi","entries:events-2024-sro-vir:kIUQ-BM-ckhRkHSWbxPZi","11530888","",28,"13 (28 → 15)","13"
