"Series","Class","No.","Best Lap 1","Best Lap 2","Best Lap 3","Best Lap 4","Best Lap 5","Best Lap 6","Best Lap 7","Best Lap 8","Best Lap 9","Best Lap 10","Average Best Time"
"GR Cup","Am","3","2:09.829","2:09.973","2:10.195","2:10.252","2:10.277","2:11.184","2:11.435","2:11.635","2:11.724","2:11.918","02:10.842"
"GR Cup","Am","5","2:07.210","2:07.282","2:07.333","2:07.416","2:07.471","2:07.535","2:07.559","2:07.572","2:07.593","2:07.594","02:07.457"
"GR Cup","Am","09","2:09.232","2:09.279","2:09.807","2:10.017","2:10.139","2:10.162","2:10.208","2:10.240","2:10.385","2:10.439","02:09.991"
"GR Cup","Am","10","2:09.576","2:10.029","2:10.048","2:10.105","2:10.280","2:10.304","2:10.549","2:10.645","2:10.752","2:11.026","02:10.331"
"GR Cup","Am","11","2:10.745","2:10.909","2:10.927","2:11.022","2:11.195","2:11.402","2:11.507","2:11.602","2:11.673","2:11.766","02:11.275"
"GR Cup","Am","13","2:07.467","2:07.488","2:07.636","2:07.659","2:07.752","2:07.806","2:07.964","2:08.096","2:08.141","2:08.150","02:07.816"
"GR Cup","Am","14","2:07.351","2:07.907","2:08.670","2:08.783","2:15.966","8:03.492","","","","","03:08.695"
"GR Cup","Am","15","2:08.772","2:09.337","2:09.431","2:09.456","2:09.711","2:09.860","2:09.883","2:09.974","2:10.105","2:10.130","02:09.666"
"GR Cup","Am","18","2:08.023","2:08.077","2:08.175","2:08.198","2:08.665","2:08.918","2:08.967","2:09.090","2:09.216","2:09.288","02:08.662"
"GR Cup","Am","21","2:09.120","2:09.181","2:09.319","2:09.473","2:09.534","2:09.609","2:09.669","2:09.711","2:09.725","2:09.803","02:09.514"
"GR Cup","Am","22","2:08.115","2:08.141","2:08.264","2:08.271","2:08.298","2:08.325","2:08.379","2:08.382","2:09.024","2:09.053","02:08.425"
"GR Cup","Am","24","2:08.689","2:09.247","2:09.268","2:09.330","2:09.372","2:09.433","2:09.459","2:09.636","2:09.644","2:09.697","02:09.378"
"GR Cup","Am","25","2:09.537","2:09.678","2:09.853","2:10.002","2:10.093","2:10.143","2:10.145","2:10.500","2:10.519","2:10.850","02:10.132"
"GR Cup","Am","30","2:10.396","2:10.685","2:10.783","2:10.801","2:11.011","2:11.022","2:11.134","2:11.175","2:11.183","2:11.312","02:10.950"
"GR Cup","Am","31","2:08.490","2:08.532","2:09.289","2:09.465","2:09.576","2:09.653","2:09.740","2:09.776","2:09.778","2:09.830","02:09.413"
"GR Cup","Am","34","2:08.145","2:08.401","2:08.860","2:09.054","2:09.057","2:09.474","2:09.511","2:09.728","2:09.730","2:09.944","02:09.190"
"GR Cup","Am","39","2:07.543","2:07.580","2:07.581","2:07.732","2:07.866","2:07.930","2:07.932","2:08.030","2:08.030","2:08.141","02:07.837"
"GR Cup","Am","41","2:08.352","2:08.855","2:08.960","2:09.143","2:09.290","2:09.323","2:09.340","2:09.393","2:09.444","2:09.453","02:09.155"
"GR Cup","Am","44","2:08.349","2:08.530","2:08.569","2:08.624","2:08.778","2:08.946","2:08.999","2:08.999","2:09.236","2:09.335","02:08.837"
"GR Cup","Am","46","2:07.444","2:07.535","2:07.624","2:07.745","2:07.864","2:08.149","2:08.358","2:08.363","2:08.586","2:08.738","02:08.041"
"GR Cup","Am","47","2:08.027","2:08.050","2:08.167","2:08.596","2:08.672","2:08.717","2:08.865","2:08.920","2:08.961","2:08.971","02:08.595"
"GR Cup","Am","50","2:08.841","2:09.200","2:09.327","2:09.372","2:09.507","2:09.588","2:09.642","2:09.650","2:09.669","2:09.958","02:09.475"
"GR Cup","Am","51","2:07.854","2:08.005","2:08.117","2:08.484","2:08.707","2:08.729","2:08.767","2:08.859","2:08.863","2:08.927","02:08.531"
"GR Cup","Am","55","2:07.558","2:07.670","2:07.756","2:07.820","2:07.861","2:07.978","2:08.000","2:08.020","2:08.100","2:08.177","02:07.894"
"GR Cup","Am","57","2:08.055","2:08.172","2:08.204","2:08.370","2:08.509","2:08.636","2:08.678","2:08.891","2:09.031","2:09.215","02:08.576"
"GR Cup","Am","61","2:11.188","2:11.403","2:11.984","2:12.001","2:12.020","2:12.197","2:12.304","2:12.473","2:12.484","2:12.491","02:12.055"
"GR Cup","Am","71","2:07.777","2:08.009","2:08.237","2:08.597","2:08.619","2:08.677","2:08.745","2:08.817","2:08.890","2:09.066","02:08.543"
"GR Cup","Am","75","2:08.570","2:08.678","2:09.263","2:09.340","2:09.524","2:09.608","2:09.630","2:09.639","2:09.805","2:09.928","02:09.399"
"GR Cup","Am","76","2:08.288","2:08.421","2:09.174","2:09.254","2:09.741","2:10.161","2:10.194","2:13.215","","","02:09.806"
"GR Cup","Am","77","2:09.021","2:09.589","2:09.851","2:09.870","2:09.901","2:10.256","2:10.279","2:10.417","2:10.632","2:10.757","02:10.057"
"GR Cup","Am","80","2:08.008","2:08.062","2:08.331","2:08.451","2:08.558","2:08.651","2:08.975","2:09.060","2:09.117","2:09.304","02:08.652"
"GR Cup","Am","88","2:08.128","2:08.199","2:08.230","2:08.478","2:08.519","2:08.616","2:08.784","2:08.817","2:08.863","2:08.983","02:08.562"
"GR Cup","Am","99","2:07.872","2:08.119","2:08.148","2:08.170","2:08.207","2:08.565","2:08.638","2:08.655","2:08.663","2:08.748","02:08.379"
