"Pos","PIC","#","Name","Class","Laps","Total Time","Total Time (ms)","Best Time","Best Time (ms)","Best Speed","Best Lap","Diff","Gap","Points","Start Pos","Total distance","Laps led","Startgrid Comment","First Name","Last Name","2nd Best Time","2nd Best Time (ms)","Pitstops","S1 Best Time","S1 Best Time (ms)","S2 Best Time","S2 Best Time (ms)","S3 Best Time","S3 Best Time (ms)","FirstName","LastName","Additional1","Additional2","Additional3","Additional4","Additional5","Additional6","Additional7","Additional8","CarRegistration","DriverRegistration","Transponder1","Transponder2","Start PIC","Pos Gained","Pos Gained Overall"
"1","1","5","Gresham Wagner","Am","20","46:55.250",2815250,"2:07.210",127210,"92.540","6","","","25","1","65.400","20","2:05.390","Gresham","Wagner","2:07.282",127282,"","44.956",44956,"47.648",47648,"34.455",34455,"Gresham","Wagner","","219203","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","entries:events-2024-sro-vir:DtzJf0PXep9Br6nOc1utR","15257379","",1,"0 (1 → 1)","0"
"2","2","13","Westin Workman","Am","20","46:55.611",2815611,"2:07.467",127467,"92.353","6","0.361","0.361","18","3","65.400","0","2:06.142","Westin","Workman","2:07.488",127488,"","45.077",45077,"47.566",47566,"34.599",34599,"Westin","Workman","","219250","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:LUtvvmV3MKmWIq7eAvDbt","entries:events-2024-sro-vir:LUtvvmV3MKmWIq7eAvDbt","15241424","",3,"1 (3 → 2)","1"
"3","3","55","Spike Kohlbecker","Am","20","46:55.819",2815819,"2:07.558",127558,"92.287","4","0.569","0.208","15","2","65.400","0","2:06.071","Spike","Kohlbecker","2:07.670",127670,"","45.051",45051,"47.774",47774,"34.586",34586,"Spike","Kohlbecker","","219122","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:x82vBcn7Sp6iOhoAf_tzM","entries:events-2024-sro-vir:x82vBcn7Sp6iOhoAf_tzM","11385466","",2,"-1 (2 → 3)","-1"
"4","4","39","Maximilian Hewitt","Am","20","46:56.297",2816297,"2:07.543",127543,"92.298","2","1.047","0.478","12","5","65.400","0","2:06.233","Maximilian","Hewitt","2:07.580",127580,"","45.123",45123,"47.796",47796,"34.491",34491,"Maximilian","Hewitt","","219206","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:LMlrcOP76O3wndyuQ_H9a","entries:events-2024-sro-vir:LMlrcOP76O3wndyuQ_H9a","13778007","",5,"1 (5 → 4)","1"
"5","5","47","Ethan Goulart","Am","20","46:57.405",2817405,"2:08.027",128027,"91.949","5","2.155","1.108","10","4","65.400","0","2:06.227","Ethan","Goulart","2:08.050",128050,"","45.280",45280,"48.036",48036,"34.633",34633,"Ethan","Goulart","","219186","GR Cup","Toyota GR86","TechSport Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:ashfGXJ2Ko3xInSvUWgSo","entries:events-2024-sro-vir:ashfGXJ2Ko3xInSvUWgSo","11286329","",4,"-1 (4 → 5)","-1"
"6","6","99","Jaxon Bell","Am","20","46:58.373",2818373,"2:07.872",127872,"92.061","5","3.123","0.968","8","13","65.400","0","2:07.019","Jaxon","Bell","2:08.119",128119,"","45.445",45445,"47.523",47523,"34.559",34559,"Jaxon","Bell","","219090","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:5Of1CYdj2ykymsm15Aa46","entries:events-2024-sro-vir:5Of1CYdj2ykymsm15Aa46","13153784","",13,"7 (13 → 6)","7"
"7","7","51","Zachary Hollingshead","Am","20","46:58.982",2818982,"2:07.854",127854,"92.074","5","3.732","0.609","6","7","65.400","0","2:06.574","Zachary","Hollingshead","2:08.005",128005,"","45.435",45435,"47.914",47914,"34.477",34477,"Zachary","Hollingshead","","219295","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:V7XoDhJhrJIni5QdoOpmj","entries:events-2024-sro-vir:V7XoDhJhrJIni5QdoOpmj","12714404","",7,"0 (7 → 7)","0"
"8","8","57","Mia Lovell","Am","20","46:59.568",2819568,"2:08.055",128055,"91.929","4","4.318","0.586","4","8","65.400","0","2:06.599","Mia","Lovell","2:08.172",128172,"","45.469",45469,"47.742",47742,"34.579",34579,"Mia","Lovell","","218686","GR Cup","Toyota GR86","Copeland Motorsports","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:71LsTsnzeWitMeUk-_t1J","entries:events-2024-sro-vir:71LsTsnzeWitMeUk-_t1J","10314665","",8,"0 (8 → 8)","0"
"9","9","46","Lucas Weisenberg","Am","20","47:00.804",2820804,"2:07.444",127444,"92.370","7","5.554","1.236","2","31","65.400","0","","Lucas","Weisenberg","2:07.535",127535,"","45.197",45197,"47.565",47565,"34.484",34484,"Lucas","Weisenberg","","219272","GR Cup","Toyota GR86","Lucas Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:ls2QejRvAFMzSge2hlnwL","entries:events-2024-sro-vir:ls2QejRvAFMzSge2hlnwL","12208074","",31,"22 (31 → 9)","22"
"10","10","18","Jordan RickSegrini","Am","20","47:01.350",2821350,"2:08.023",128023,"91.952","4","6.100","0.546","1","6","65.400","0","2:06.484","Jordan","RickSegrini","2:08.077",128077,"","45.314",45314,"47.972",47972,"34.592",34592,"Jordan","RickSegrini","","219283","GR Cup","Toyota GR86","BSI Racing","Toyota Gazoo Racing GR","USA","","entries:events-2024-sro-vir:xme5hE5JvkYjQQEX275XK","entries:events-2024-sro-vir:xme5hE5JvkYjQQEX275XK","12415550","",6,"-4 (6 → 10)","-4"
