CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;12;5;2:07.560;;;148.5;
Am;2;2;72;TechSport;Toyota GR86;Ethan Goulart;9;9;2:07.567;+0.007;+0.007;148.5;
Am;3;3;13;BSI Racing;Toyota GR86;Westin Workman;10;4;2:07.606;+0.046;+0.039;148.5;
Am;4;4;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;11;4;2:07.691;+0.131;+0.085;148.4;
Am;5;5;71;TechSport;Toyota GR86;Christian Weir;11;6;2:07.834;+0.274;+0.143;148.2;
Am;6;6;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;11;5;2:07.944;+0.384;+0.110;148.1;
Am;7;7;15;TechSport;Toyota GR86;Brett Kowalski;11;5;2:08.108;+0.548;+0.164;147.9;
Am;8;8;98;TechSport;Toyota GR86;Max Schweid;11;11;2:08.248;+0.688;+0.140;147.7;
Am;9;9;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;11;11;2:08.700;+1.140;+0.452;147.2;
Am;10;10;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;10;3;2:08.754;+1.194;+0.054;147.1;
Am;11;11;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;10;9;2:08.786;+1.226;+0.032;147.1;
Am;12;12;21;Copeland Motorsports;Toyota GR86;Ford Koch;11;11;2:09.028;+1.468;+0.242;146.8;
Am;13;13;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;10;4;2:09.088;+1.528;+0.060;146.8;
Am;14;14;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;12;5;2:09.198;+1.638;+0.110;146.6;
Am;15;15;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti;12;4;2:09.206;+1.646;+0.008;146.6;
Am;16;16;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;9;5;2:09.642;+2.082;+0.436;146.1;
Am;17;17;78;Nitro Motorsports;Toyota GR86;Ethan Ayars;10;10;2:09.707;+2.147;+0.065;146.1;
Am;18;18;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;11;3;2:09.745;+2.185;+0.038;146.0;
Am;19;19;03;Precision Racing LA;Toyota GR86;Karl Forman;11;6;2:09.961;+2.401;+0.216;145.8;
Am;20;20;51;BSI Racing;Toyota GR86;Massimo Sunseri;9;3;2:10.504;+2.944;+0.543;145.2;
Am;21;21;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;11;6;2:10.560;+3.000;+0.056;145.1;
Am;22;22;61;Skip Barber Racing;Toyota GR86;James Klimas;4;4;2:11.613;+4.053;+1.053;143.9;
Am;23;23;12;BSI Racing;Toyota GR86;John Lennon;11;10;2:16.237;+8.677;+4.624;139.1;
Am;24;24;16;Copeland Motorsports;Toyota GR86;John Dean;0;0;;;;;
Am;25;25;111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Isabella Robusto;0;0;;;;;
