NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;2:41.629;0;;1:15.986;0;49.623;0;36.020;0;117.2;2:41.629;16:22:41.629;1:15.986;0:49.623;0:36.020;;Karl Forman;0:00:22.960;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;75.986;49.623;36.020;55.485;55.485;20.501;1:15.986;19.453;1:35.439;30.170;2:05.609;14.494;2:20.103;21.526;2:41.629;
03;1;2;2:11.196;0;;46.521;0;49.061;0;35.614;0;144.4;4:52.825;16:24:52.825;0:46.521;0:49.061;0:35.614;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;46.521;49.061;35.614;26.340;26.340;20.181;46.521;19.200;1:05.721;29.861;1:35.582;14.241;1:49.823;21.373;2:11.196;
03;1;3;2:10.520;0;;45.919;0;49.098;0;35.503;0;145.2;7:03.345;16:27:03.345;0:45.919;0:49.098;0:35.503;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.919;49.098;35.503;25.871;25.871;20.048;45.919;19.244;1:05.163;29.854;1:35.017;14.100;1:49.117;21.403;2:10.520;
03;1;4;2:18.845;0;;45.784;2;49.022;0;44.039;0;136.4;9:22.190;16:29:22.190;0:45.784;0:49.022;0:44.039;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.784;49.022;44.039;25.863;25.863;19.921;45.784;19.079;1:04.863;29.943;1:34.806;14.103;1:48.909;29.936;2:18.845;
03;1;5;2:11.170;0;;46.895;0;48.954;0;35.321;0;144.4;11:33.360;16:31:33.360;0:46.895;0:48.954;0:35.321;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;46.895;48.954;35.321;26.786;26.786;20.109;46.895;19.169;1:06.064;29.785;1:35.849;14.072;1:49.921;21.249;2:11.170;
03;1;6;2:09.961;2;;45.972;0;48.723;0;35.266;0;145.8;13:43.321;16:33:43.321;0:45.972;0:48.723;0:35.266;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.972;48.723;35.266;26.028;26.028;19.944;45.972;19.035;1:05.007;29.688;1:34.695;13.928;1:48.623;21.338;2:09.961;
03;1;7;2:11.035;0;;45.893;0;48.650;0;36.492;0;144.6;15:54.356;16:35:54.356;0:45.893;0:48.650;0:36.492;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.893;48.650;36.492;25.984;25.984;19.909;45.893;18.954;1:04.847;29.696;1:34.543;14.063;1:48.606;22.429;2:11.035;
03;1;8;2:10.090;0;;46.111;0;48.603;2;35.376;0;145.6;18:04.446;16:38:04.446;0:46.111;0:48.603;0:35.376;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;46.111;48.603;35.376;26.191;26.191;19.920;46.111;18.978;1:05.089;29.625;1:34.714;14.088;1:48.802;21.288;2:10.090;
03;1;9;2:11.431;0;;47.311;0;48.934;0;35.186;2;144.1;20:15.877;16:40:15.877;0:47.311;0:48.934;0:35.186;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;47.311;48.934;35.186;26.477;26.477;20.834;47.311;19.045;1:06.356;29.889;1:36.245;13.927;1:50.172;21.259;2:11.431;
03;1;10;2:10.032;0;;46.061;0;48.643;0;35.328;0;145.7;22:25.909;16:42:25.909;0:46.061;0:48.643;0:35.328;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;46.061;48.643;35.328;26.154;26.154;19.907;46.061;18.973;1:05.034;29.670;1:34.704;13.919;1:48.623;21.409;2:10.032;
