TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1752870050;7/18/2025 8:20:50 PM;31.22;41.6;70.93;1003.6;2.88;276;0;
1752870113;7/18/2025 8:21:53 PM;31.18;41.6;69.88;1003.6;2.52;293;0;
1752870175;7/18/2025 8:22:55 PM;31.15;41.5;68.74;1003.6;3.96;276;0;
1752870238;7/18/2025 8:23:58 PM;31.17;41.3;70.54;1003.6;4.32;283;0;
1752870301;7/18/2025 8:25:01 PM;31.12;41.2;68.08;1003.5;4.32;272;0;
1752870363;7/18/2025 8:26:03 PM;31.17;40.8;68.44;1003.5;3.96;252;0;
1752870426;7/18/2025 8:27:06 PM;31.22;40.8;69.5;1003.6;5.4;284;0;
1752870489;7/18/2025 8:28:09 PM;31.25;40.6;69.16;1003.5;5.04;274;0;
1752870552;7/18/2025 8:29:12 PM;31.21;40.5;69.38;1003.5;3.24;292;0;
1752870614;7/18/2025 8:30:14 PM;31.21;40.3;70.57;1003.5;3.24;303;0;
1752870677;7/18/2025 8:31:17 PM;31.19;40.3;72.5;1003.5;2.52;306;0;
1752870740;7/18/2025 8:32:20 PM;31.13;40.2;70.45;1003.5;3.24;293;0;
1752870802;7/18/2025 8:33:22 PM;31.14;40.1;70.87;1003.5;2.88;302;0;
1752870865;7/18/2025 8:34:25 PM;31.13;40;71.26;1003.4;3.96;276;0;
1752870928;7/18/2025 8:35:28 PM;31.12;40;71.29;1003.5;2.16;289;0;
1752870990;7/18/2025 8:36:30 PM;31.11;40;70.98;1003.4;2.16;271;0;
1752871053;7/18/2025 8:37:33 PM;31.08;40;69.36;1003.4;2.16;300;0;
1752871116;7/18/2025 8:38:36 PM;31.12;39.9;71.64;1003.5;3.96;279;0;
1752871178;7/18/2025 8:39:38 PM;31.1;39.8;69.96;1003.5;3.24;278;0;
1752871241;7/18/2025 8:40:41 PM;31.11;39.7;74.24;1003.5;3.96;284;0;
1752871304;7/18/2025 8:41:44 PM;31.06;39.5;71.79;1003.6;3.24;282;0;
1752871366;7/18/2025 8:42:46 PM;31;39.4;72.29;1003.6;3.96;279;0;
1752871429;7/18/2025 8:43:49 PM;30.93;39.2;71.57;1003.7;3.6;285;0;
1752871492;7/18/2025 8:44:52 PM;30.9;39.2;71.7;1003.8;3.24;289;0;
