NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;9;2:07.567;9;2:07.772;3;2:08.063;5;2:08.783;2;2:09.595;4;2:11.971;7;2:12.306;6;2:14.435;8;;0;;0;2:10.061;
78;Nitro Motorsports;Toyota GR86;Am;Ethan;Ayars;10;2:09.707;10;2:09.922;4;2:10.218;7;2:11.822;2;2:13.337;3;2:15.081;6;2:17.603;9;3:00.871;5;3:52.121;8;;0;2:28.964;
12;BSI Racing;Toyota GR86;Am;John;Lennon;11;2:16.237;10;2:16.547;11;2:19.134;2;2:19.678;9;2:19.905;8;2:20.279;3;2:20.795;6;2:21.091;7;2:21.338;4;2:46.072;5;2:22.107;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;11;2:07.691;4;2:07.799;5;2:07.907;3;2:07.996;7;2:08.322;2;2:08.531;11;2:09.407;10;2:10.746;6;2:14.038;9;3:21.290;8;2:16.372;
98;TechSport;Toyota GR86;Am;Max;Schweid;11;2:08.248;11;2:08.301;4;2:08.445;6;2:08.782;9;2:08.931;8;2:09.553;10;2:09.660;3;2:10.331;2;2:10.355;7;2:39.140;5;2:12.174;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;11;2:09.028;11;2:09.161;9;2:09.165;7;2:09.383;2;2:09.545;6;2:09.578;8;2:09.822;10;2:12.143;5;2:14.235;4;3:17.130;3;2:16.919;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;11;2:07.944;5;2:08.131;2;2:08.132;11;2:08.905;6;2:09.135;4;2:10.026;3;2:10.061;7;2:12.715;10;2:13.458;8;2:25.314;9;2:11.382;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;11;2:08.700;11;2:08.743;4;2:08.882;3;2:08.896;2;2:08.903;5;2:09.597;6;2:13.407;8;2:14.001;10;2:57.730;9;3:11.061;7;2:20.992;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;12;2:09.198;5;2:09.369;9;2:10.025;3;2:10.247;4;2:10.259;12;2:10.400;11;2:10.620;8;2:10.747;6;2:11.173;7;2:11.328;2;2:10.336;
89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Livio;Galanti;12;2:09.206;4;2:09.248;9;2:09.272;6;2:09.487;5;2:09.803;8;2:09.815;11;2:09.890;7;2:10.250;12;2:10.419;10;2:14.350;3;2:10.174;
