NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
03;1;1;2:56.826;0;;1:17.772;0;55.572;0;43.482;0;107.1;2:56.826;08:57:56.826;1:17.772;0:55.572;0:43.482;;Karl Forman;0:00:22.669;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;77.772;55.572;43.482;56.094;56.094;21.678;1:17.772;20.841;1:38.613;34.731;2:13.344;19.423;2:32.767;24.059;2:56.826;
03;1;2;2:25.426;0;;46.309;0;1:01.939;0;37.178;0;130.3;5:22.252;09:00:22.252;0:46.309;1:01.939;0:37.178;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;46.309;61.939;37.178;26.204;26.204;20.105;46.309;23.555;1:09.864;38.384;1:48.248;14.905;2:03.153;22.273;2:25.426;
03;1;3;2:10.433;0;;46.172;0;48.381;0;35.880;0;145.2;7:32.685;09:02:32.685;0:46.172;0:48.381;0:35.880;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;46.172;48.381;35.880;26.173;26.173;19.999;46.172;18.983;1:05.155;29.398;1:34.553;14.249;1:48.802;21.631;2:10.433;
03;1;4;2:08.595;2;;45.505;0;48.211;2;34.879;2;147.3;9:41.280;09:04:41.280;0:45.505;0:48.211;0:34.879;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.505;48.211;34.879;25.763;25.763;19.742;45.505;18.796;1:04.301;29.415;1:33.716;13.732;1:47.448;21.147;2:08.595;
03;1;5;2:09.079;0;;45.643;0;48.342;0;35.094;0;146.8;11:50.359;09:06:50.359;0:45.643;0:48.342;0:35.094;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.643;48.342;35.094;25.831;25.831;19.812;45.643;18.881;1:04.524;29.461;1:33.985;13.918;1:47.903;21.176;2:09.079;
03;1;6;2:09.000;0;;45.478;2;48.401;0;35.121;0;146.9;13:59.359;09:08:59.359;0:45.478;0:48.401;0:35.121;;Karl Forman;;Am;;Precision Racing LA;Toyota Gazoo Racing;GF;45.478;48.401;35.121;25.698;25.698;19.780;45.478;18.881;1:04.359;29.520;1:33.879;13.923;1:47.802;21.198;2:09.000;
111;1;1;2:27.641;0;;1:03.967;0;48.814;0;34.860;0;128.3;2:27.641;08:57:27.641;1:03.967;0:48.814;0:34.860;;Isabella Robusto;0:00:10.806;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;63.967;48.814;34.860;43.671;43.671;20.296;1:03.967;19.085;1:23.052;29.729;1:52.781;13.787;2:06.568;21.073;2:27.641;
111;1;2;2:09.227;0;;45.972;0;48.102;0;35.153;0;146.6;4:36.868;08:59:36.868;0:45.972;0:48.102;0:35.153;;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;45.972;48.102;35.153;26.197;26.197;19.775;45.972;18.687;1:04.659;29.415;1:34.074;13.987;1:48.061;21.166;2:09.227;
111;1;3;2:09.597;0;;45.375;0;49.230;0;34.992;0;146.2;6:46.465;09:01:46.465;0:45.375;0:49.230;0:34.992;;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;45.375;49.230;34.992;25.712;25.712;19.663;45.375;19.292;1:04.667;29.938;1:34.605;14.151;1:48.756;20.841;2:09.597;
111;1;4;2:07.759;2;;45.110;2;48.013;0;34.636;2;148.3;8:54.224;09:03:54.224;0:45.110;0:48.013;0:34.636;;Isabella Robusto;;Am;;RVA Graphics Motorsports by Speed Syndicate;Toyota Gazoo Racing;GF;45.110;48.013;34.636;25.526;25.526;19.584;45.110;18.802;1:03.912;29.211;1:33.123;13.703;1:46.826;20.933;2:07.759;
