TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1752929740;7/19/2025 12:55:40 PM;26.12;34.3;90.12;1004.5;1.44;230;0;
1752929803;7/19/2025 12:56:43 PM;26.16;34.3;90.15;1004.6;2.16;226;0;
1752929866;7/19/2025 12:57:46 PM;26.16;34.6;89.67;1004.6;0.72;218;0;
1752929928;7/19/2025 12:58:48 PM;26.2;34.8;89.15;1004.6;2.52;208;0;
1752929991;7/19/2025 12:59:51 PM;26.31;34.9;88.7;1004.5;1.08;212;0;
1752930054;7/19/2025 1:00:54 PM;26.4;35.2;88.66;1004.5;0.72;141;0;
1752930117;7/19/2025 1:01:57 PM;26.52;35.3;88.45;1004.6;1.44;141;0;
1752930179;7/19/2025 1:02:59 PM;26.59;35.3;88.2;1004.6;2.52;237;0;
1752930242;7/19/2025 1:04:02 PM;26.62;35.3;88.03;1004.5;3.24;226;0;
1752930305;7/19/2025 1:05:05 PM;26.59;35.4;87.92;1004.5;3.24;255;0;
1752930367;7/19/2025 1:06:07 PM;26.59;35.4;88.11;1004.5;2.16;209;0;
1752930430;7/19/2025 1:07:10 PM;26.62;35.5;89.2;1004.5;4.32;284;0;
1752930492;7/19/2025 1:08:12 PM;26.62;35;88.46;1004.6;5.04;286;0;
1752930555;7/19/2025 1:09:15 PM;26.56;34.7;87.85;1004.4;3.24;285;0;
