NUMBER;TEAM;VEHICLE;CLASS;FIRSTNAME;SECONDNAME;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE;
72;TechSport;Toyota GR86;Am;Ethan;Goulart;6;2:06.473;5;2:06.547;3;2:06.783;2;2:10.484;6;2:13.452;4;;0;;0;;0;;0;;0;2:08.747;
78;Nitro Motorsports;Toyota GR86;Am;Ethan;Ayars;7;2:07.890;6;2:08.191;7;2:08.807;4;2:08.986;3;2:09.105;5;2:10.019;2;;0;;0;;0;;0;2:08.833;
12;BSI Racing;Toyota GR86;Am;John;Lennon;7;2:13.180;7;2:13.800;6;2:14.747;5;2:15.501;4;2:15.731;2;2:16.277;3;;0;;0;;0;;0;2:14.872;
7;Copeland Motorsports;Toyota GR86;Am;Jaxon;Bell;6;2:06.187;5;2:07.454;3;2:10.526;6;2:11.071;4;2:14.051;2;;0;;0;;0;;0;;0;2:09.857;
98;TechSport;Toyota GR86;Am;Max;Schweid;5;2:06.442;4;2:06.634;5;2:06.931;3;2:09.393;2;;0;;0;;0;;0;;0;;0;2:07.350;
21;Copeland Motorsports;Toyota GR86;Am;Ford;Koch;7;2:07.112;4;2:07.411;3;2:07.525;5;2:08.125;7;2:08.729;2;2:12.111;6;;0;;0;;0;;0;2:08.502;
55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Spike;Kohlbecker;6;2:06.420;5;2:06.633;4;2:06.746;3;2:10.451;6;2:18.850;2;;0;;0;;0;;0;;0;2:09.820;
46;Lucas Racing;Toyota GR86;Am;Lucas;Weisenberg;7;2:06.692;2;2:06.802;5;2:07.006;7;2:08.503;3;2:10.858;4;2:12.631;6;;0;;0;;0;;0;2:08.748;
5;Copeland Motorsports;Toyota GR86;Am;Beltre;Curtis;6;2:07.540;3;2:07.676;4;2:08.233;5;2:08.982;2;3:15.364;6;;0;;0;;0;;0;;0;2:21.559;
89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Livio;Galanti;6;2:08.504;3;2:08.590;5;2:08.726;6;2:09.171;4;2:09.366;2;;0;;0;;0;;0;;0;2:08.871;
80;Nitro Motorsports;Toyota GR86;Am;Paityn;Feyen;7;2:08.942;5;2:09.680;7;2:09.890;6;2:10.073;4;2:10.202;3;2:10.938;2;;0;;0;;0;;0;2:09.954;
111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Isabella;Robusto;6;2:07.759;4;2:07.803;5;2:09.227;2;2:09.597;3;2:10.605;6;;0;;0;;0;;0;;0;2:08.998;
88;PT Autosport with Copeland Motorsports;Toyota GR86;Am;Max;Stallone;7;2:08.626;4;2:08.637;3;2:09.310;5;2:09.506;2;2:10.089;7;2:11.508;6;;0;;0;;0;;0;2:09.612;
15;TechSport;Toyota GR86;Am;Brett;Kowalski;4;2:07.505;3;2:07.718;4;2:08.178;2;;0;;0;;0;;0;;0;;0;;0;2:07.800;
61;Skip Barber Racing;Toyota GR86;Am;James;Klimas;7;2:10.205;4;2:10.833;7;2:11.116;3;2:12.812;6;2:14.161;2;2:25.726;5;;0;;0;;0;;0;2:14.142;
51;BSI Racing;Toyota GR86;Am;Massimo;Sunseri;6;2:07.887;4;2:08.941;5;2:09.089;6;2:09.459;2;2:10.944;3;;0;;0;;0;;0;;0;2:09.264;
113;Nitro Motorsports;Toyota GR86;Am;Ethan;Tovo;7;2:07.371;6;2:07.926;7;2:08.108;3;2:08.384;5;2:09.932;2;2:11.186;4;;0;;0;;0;;0;2:08.817;
03;Precision Racing LA;Toyota GR86;Am;Karl;Forman;6;2:08.595;4;2:09.000;6;2:09.079;5;2:10.433;3;2:25.426;2;;0;;0;;0;;0;;0;2:12.506;
71;TechSport;Toyota GR86;Am;Christian;Weir;7;2:06.856;6;2:06.861;3;2:06.995;4;2:07.682;2;2:07.856;5;2:09.789;7;;0;;0;;0;;0;2:07.673;
2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Am;Will;Robusto;6;2:06.596;6;2:06.762;2;2:07.115;3;2:10.964;4;2:11.016;5;;0;;0;;0;;0;;0;2:08.490;
41;Copeland Motorsports;Toyota GR86;Am;Jenson;Sofronas;7;2:07.662;6;2:07.879;5;2:08.211;4;2:08.481;3;2:10.548;7;2:11.470;2;;0;;0;;0;;0;2:09.041;
93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Am;Patrick;Brunson;5;2:08.195;3;2:09.465;4;2:12.612;5;2:13.382;2;;0;;0;;0;;0;;0;;0;2:10.913;
13;BSI Racing;Toyota GR86;Am;Westin;Workman;6;2:06.477;6;2:06.675;3;2:06.826;4;2:12.307;2;2:13.029;5;;0;;0;;0;;0;;0;2:09.062;
31;Nitro Motorsports;Toyota GR86;Am;Jackson;Tovo;6;2:07.245;4;2:07.470;5;2:07.547;6;2:09.131;2;2:10.267;3;;0;;0;;0;;0;;0;2:08.332;
