CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;TOTAL_LAPS;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH;
Am;1;1;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;7;6;2:06.489;;;149.8;
Am;2;2;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;6;3;2:06.600;+0.111;+0.111;149.6;
Am;3;3;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;7;7;2:06.628;+0.139;+0.028;149.6;
Am;4;4;13;BSI Racing;Toyota GR86;Westin Workman;6;5;2:06.702;+0.213;+0.074;149.5;
Am;5;5;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;5;5;2:06.729;+0.240;+0.027;149.5;
Am;6;6;71;TechSport;Toyota GR86;Christian Weir;7;4;2:06.863;+0.374;+0.134;149.3;
Am;7;7;72;TechSport;Toyota GR86;Ethan Goulart;6;2;2:07.051;+0.562;+0.188;149.1;
Am;8;8;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;7;4;2:07.306;+0.817;+0.255;148.8;
Am;9;9;98;TechSport;Toyota GR86;Max Schweid;7;3;2:07.374;+0.885;+0.068;148.7;
Am;10;10;15;TechSport;Toyota GR86;Brett Kowalski;6;3;2:07.437;+0.948;+0.063;148.7;
Am;11;11;21;Copeland Motorsports;Toyota GR86;Ford Koch;7;7;2:07.498;+1.009;+0.061;148.6;
Am;12;12;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;7;5;2:07.507;+1.018;+0.009;148.6;
Am;13;13;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;7;5;2:07.748;+1.259;+0.241;148.3;
Am;14;14;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;6;4;2:07.838;+1.349;+0.090;148.2;
Am;15;15;111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Isabella Robusto;7;5;2:07.963;+1.474;+0.125;148.1;
Am;16;16;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti;7;7;2:08.071;+1.582;+0.108;147.9;
Am;17;17;03;Precision Racing LA;Toyota GR86;Karl Forman;6;4;2:08.121;+1.632;+0.050;147.9;
Am;18;18;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;7;4;2:08.262;+1.773;+0.141;147.7;
Am;19;19;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;7;7;2:08.858;+2.369;+0.596;147.0;
Am;20;20;51;BSI Racing;Toyota GR86;Massimo Sunseri;7;3;2:08.995;+2.506;+0.137;146.9;
Am;21;21;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;7;3;2:09.412;+2.923;+0.417;146.4;
Am;22;22;61;Skip Barber Racing;Toyota GR86;James Klimas;7;7;2:10.410;+3.921;+0.998;145.3;
Am;23;23;12;BSI Racing;Toyota GR86;John Lennon;7;7;2:12.873;+6.384;+2.463;142.6;
Am;24;24;78;Nitro Motorsports;Toyota GR86;Ethan Ayars;0;0;;;;;
